ref_id,short_ref,reference,onlink,source
1,"Allen (1938)","Allen, J.E., 1938, Chromite deposits in Oregon: Oregon Department of Geology and Mineral Industries Bulletin No. 9, 71 p.",,ofr20101041
2,"Bayer and Linneman (2006)","Bayer, T.M., and Linneman, Scott, 2006, The nature and transport of the fine-grained component of Swift Creek landslide, NW Washington [abs.]: Geological Society of America Abstracts with Program, v. 38, no. 5, p. 31.",,ofr20101041
3,"Becker (1991)","Becker, Randy, 1991, Minerals of the Golden Horn batholith, Okanogan County, Washington: Rocks & Minerals, v. 66, no. 6, p. 450-459.",,ofr20101041
4,"Boggs (1984)","Boggs, R.C., 1984, Mineralogy and geochemistry of the Golden Horn batholith, northern Cascades, Washington: University of California at Santa Barbara, Ph.D. dissertation, 211 p.",,ofr20101041
5,"Bowles (1955)","Bowles, Oliver, 1955, The asbestos industry: U.S. Bureau of Mines Bulletin 552, 122 p.",,ofr20101041
6,"Bright and Ramp (1965)","Bright, J.H., and Ramp, Len, 1965, Oregon's asbestos potential: The Ore Bin, v. 27, no. 3, p. 45-63.",,ofr20101041
7,"Cox (1968)","Cox, M.W., 1968, Van Stone mine area (lead-zinc), Stevens County, Washington, in Ridge, J.D., ed., Ore deposits of the United States, 1933-1967--The Graton-Sales volume, v. II: New York, The American Institute of Mining, Metallurgical, and Petroleum Engineers, Inc., p. 1511-1519.",,ofr20101041
8,"Engineering and Mining Journal (1891)","Engineering and Mining Journal, 1891, Washington, Ragit County: Engineering and Mining Journal, v. 51, no. 12, (March 21, 1891), p. 362.",,ofr20101041
9,"Engineering and Mining Journal (1896)","Engineering and Mining Journal, 1896, Washington, Skagit County: Engineering and Mining Journal, v. 62, no. 6, (August 8, 1896), p. 135.",,ofr20101041
10,"Ferns and Ramp (1988)","Ferns, M.L., and Ramp, Len, 1988, Investigations of talc in Oregon: Oregon Department of Geology and Mineral Industries Special Paper 18, 52 p., 4 plates.",,ofr20101041
11,"Gilluly (1937)","Gilluly, James, 1937, Geology and mineral resources of the Baker quadrangle, Oregon: U.S. Geological Survey Bulletin 879, 119 p., 3 plates.","http://pubs.er.usgs.gov/publication/b879",ofr20101041
12,"Glover (1936)","Glover, S.L., 1936, Nonmetallic mineral resources of Washington: Washington Division of Geology Bulletin No. 33, 135 p.",,ofr20101041
13,"Huntting (1943)","Huntting, M.T., 1943, Inventory of mineral properties in Chelan County, Washington: Washington Division of Geology Report of Investigations No. 9, 63 p., 1 plate.",,ofr20101041
14,"Johnson and others (1983)","Johnson, F.L., Denton, D.K., Iverson, S.R., McCulloch, R.B., Stebbins, S.A., and Stotelmeyer, R.B., 1983, Mineral resources of the Glacier Peak Rare II Area (No. L6031), Snohomish County, Washington: U.S. Bureau of Mines Open-File Report MLA 75-83, 44 p., 2 plates.",,ofr20101041
15,"Moen (1969)","Moen, W.S., 1969, Mines and mineral deposits of Whatcom County, Washington: Washington Division of Mines and Geology Bulletin No. 57, 134 p., 14 plates.",,ofr20101041
16,"Moore (1937)","Moore, B.N., 1937, Nonmetallic mineral resources of eastern Oregon: U.S. Geological Survey Bulletin 875, 180 p.","http://pubs.er.usgs.gov/publication/b875",ofr20101041
17,"Muessig (1967)","Muessig, Siegfried, 1967, Geology of the Republic quadrangle and a part of the Aeneas quadrangle, Ferry County, Washington: U.S. Geological Survey Bulletin 1216, 135 p., 1 plate.","http://pubs.er.usgs.gov/publication/b1216",ofr20101041
18,"Oregon Department of Geology and Mineral Industries (1939)","Oregon Department of Geology and Mineral Industries, 1939, Oregon metal mines handbook, northeastern Oregon--East half: Oregon Department of Geology and Mineral Industries Bulletin No. 14-A, 125 p.",,ofr20101041
19,"Oregon Department of Geology and Mineral Industries (1943)","Oregon Department of Geology and Mineral Industries, 1943, Oregon metal mines handbook, v. II, section 2--Jackson County: Oregon Department of Geology and Mineral Industries Bulletin No. 14-C, 208 p.",,ofr20101041
20,"Page and others (1977)","Page, N.J., Blair, W.N., Gray, Floyd, Cannon, J.K., Grimes, D.J., and Leinz, R.W., 1977, Preliminary reconnaissance geologic map of the Wimer quadrangle, Oregon: U.S. Geological Survey Miscellaneous Field Studies Map MF-848, scale 1:62,500, 2 sheets.","http://pubs.er.usgs.gov/publication/mf848",ofr20101041
21,"Park and Cannon (1943)","Park, C.F., Jr., and Cannon, R.S., 1943, Geology and ore deposits of the Metaline quadrangle, Washington: U.S. Geological Survey Professional Paper 202, 81 p., 34 plates.","http://pubs.er.usgs.gov/publication/pp202",ofr20101041
22,"Patty and Glover (1921)","Patty, E.N., and Glover, S.L., 1921, The mineral resources of Washington with statistics for 1919: Washington Geological Survey Bulletin No. 21, 155 p., 13 plates.",,ofr20101041
23,"Peterson and Ramp (1978)","Peterson, N.V., and Ramp, Len, 1978, Soapstone industry in southwest Oregon: The Ore Bin, v. 40, no. 9, p. 149-157.",,ofr20101041
24,"Ramp and Peterson (1979)","Ramp, Len, and Peterson, N.V., 1979, Geology and mineral resources of Josephine County, Oregon: Oregon Department of Geology and Mineral Industries Bulletin 100, 45 p., 3 plates.",,ofr20101041
25,"Valentine (1960)","Valentine, G.M., 1960, Inventory of Washington minerals, Part I, Second edition, Nonmetallic minerals: Washington Division of Mines and Geology Bulletin No. 37, 175 p., 39 plates.",,ofr20101041
26,"Wagner (1963)","Wagner, N.S., 1963, Coast Asbestos Co. operations, Grant County, Oregon: The Ore Bin, v. 25, no. 10, 171-176.",,ofr20101041
27,"Weaver (1920)","Weaver, C.E., 1920, The mineral resources of Stevens County: Washington Geological Survey Bulletin No. 20, 350 p., 20 plates.",,ofr20101041
28,"Wroble (2009)","Wroble, J.T., 2009, Investigation of the Sumas Mountain landslide area--A case study of a EPA's framework applied to a naturally occurring asbestos site [abs.]: Geological Society of America Abstracts with Programs, v. 41, no. 7, p. 703-704.",,ofr20101041
29,"Albino (1995)","Albino, G.V., 1995, Sodium metasomatism along the Melones Fault Zone, Sierra Nevada Foothills, California, USA: Mineralogical Magazine, v. 59, no. 3, p. 383-399.","http://minmag.geoscienceworld.org/cgi/content/abstract/59/3/383",ofr20111188
30,"Anderson and Pack (1915)","Anderson, Robert, and Pack, R.W., 1915, Geology and oil resources of the west border of the San Joaquin Valley north of Coalinga, California: U.S. Geological Survey Bulletin 603, 220 p., plate 1.","http://pubs.er.usgs.gov/publication/b603",ofr20111188
31,"Anonymous (1950)","Anonymous, 1950, New jade occurrence in California: California Division of Mines, Mineral Information Service, v. 3, no. 10, p. 2.",,ofr20111188
32,"Anonymous (2011a)","Anonymous, 2011a, Asbestos No. 1 and Access Load, Tuolumne County, California, DMEA Docket 3202: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/3202_DMEA.pdf",ofr20111188
33,"Anonymous (2011b)","Anonymous, 2011b, Calethia Asbestos Group 1 to 8, Siskiyou County, California, DMEA Docket 3196: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/3196_DMEA.pdf",ofr20111188
34,"Anonymous (2011c)","Anonymous, 2011c, General exploration, Nevada County, California, DMEA Docket 1142: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dma/1142_DMA.pdf",ofr20111188
35,"Anonymous (2011d)","Anonymous, 2011d, Indian Camp asbestos mine, Inyo County, California, DMEA Docket 2134: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/2134_DMEA.pdf",ofr20111188
36,"Anonymous (2011e)","Anonymous, 2011e, Katherine C. mining claims, Riverside County, California, DMEA Docket 3519: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/3519_DMEA.pdf",ofr20111188
37,"Anonymous (2011f)","Anonymous, 2011f, Keystone asbestos claims, Siskiyou County, California, DMEA Docket 3096: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/3096_DMEA.pdf",ofr20111188
38,"Anonymous (2011g)","Anonymous, 2011g, Mt. Eddy asbestos prospects, Siskiyou County, California, DMEA Docket 2644: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/2644_DMEA.pdf",ofr20111188
39,"Anonymous (2011h)","Anonymous, 2011h, Shotgun Creek mine, Shasta County, California, DMEA Docket 2896: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/2896_DMEA.pdf",ofr20111188
40,"Anonymous (2011i)","Anonymous, 2011i, Stark Property, Nevada County, California, DMEA Docket 1213: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dma/1213_DMA.pdf",ofr20111188
41,"Anonymous (2011j)","Anonymous, 2011j, Trinity asbestos claims, Trinity County, California, DMEA Docket 3095: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dmea/3095_DMEA.pdf",ofr20111188
42,"Anonymous (2011k)","Anonymous, 2011k, Virginia Bruce, Trinity County, California, DMEA Docket 1212: Defense Minerals Exploration Administration (DMEA) dockets, accessed May 2, 2011, at http://minerals.usgs.gov/dockets/ca.htm.","http://minerals.usgs.gov/dockets/scans/ca/dma/1212_DMA.pdf",ofr20111188
43,"Argall (1962)","Argall, G.O., Jr., 1962, Asbestos awakens Mode Lode at Jefferson Lake's new mine and mill: Mining World, v. 24, no. 10, p. 22-23.",,ofr20111188
44,"Aubury (1906)","Aubury, L.E., 1906, The structural and industrial materials of California: California Division of Mines and Geology Bulletin 38, 412 p.",,ofr20111188
45,"Aubury (1908)","Aubury, L.E., 1908, The copper resources of California: California State Mining Bureau Bulletin No. 50, 366 p.",,ofr20111188
46,"Averill (1931)","Averill, C.V., 1931, Preliminary report on economic geology of the Shasta quadrangle: California Division of Mines Report XXVII of the State Mineralogist, v. 27, no. 1, p. 3-65.",,ofr20111188
47,"Averill (1935)","Averill, C.V., 1935, Mines and mineral resources of Siskiyou County: California Journal of Mines and Geology, v. 31, no. 3, p. 255-338.",,ofr20111188
48,"Averill (1939)","Averill, C.V., 1939, Mineral resources of Shasta County: California Journal of Mines and Geology, v. 35, no. 2, p. 108-191.",,ofr20111188
49,"Averill (1947a)","Averill, C.V., 1947a, Mines and mineral resources of Lake County, California: California Journal of Mines and Geology, v. 43, no. 1, p. 15-40.",,ofr20111188
50,"Averill (1947b)","Averill, C.V., 1947b, Mines and mineral resources of San Benito County, California: California Journal of Mines and Geology, v. 43, no. 1, p. 41-60.",,ofr20111188
51,"Averill and Norman (1951)","Averill, C.V., and Norman, L.A., Jr., 1951, Counties of California--Mineral production and significant mining activities of 1949: California Journal of Mines and Geology, v. 47, no. 2, p. 271-464.",,ofr20111188
52,"Bailey (1941)","Bailey, E.H., 1941, Mineralogy, petrology, and geology of Santa Catalina Island, California: Stanford, Calif., Stanford University, Ph.D. dissertation, 193 p.",,ofr20111188
53,"Bailey and Harden (1975)","Bailey, E.H., and Harden, D.R., 1975, Map showing mineral resources of the San Francisco Bay region, California--Present availability and planning for the future: U.S. Geological Survey Miscellaneous Investigations Series Map I-909, 1 sheet, scale 1:250,000, includes 12 p. pamphlet.","http://pubs.er.usgs.gov/publication/i909",ofr20111188
54,"Barnes and others (1973)","Barnes, Ivan, Hinkle, M.E., Rapp, J.B., Heropoulos, Chris, and Vaughn, W.W., 1973, Chemical composition of naturally occurring fluids in relation to mercury deposits in part of north-central California: U.S. Geological Survey Bulletin 1382-A, 19 p.","http://pubs.er.usgs.gov/publication/b1382A",ofr20111188
55,"Bell (2008)","Bell, A., 2008, Areas more likely to contain naturally ocurring [sic] asbestos--Sites and mines on the Klamath National Forest: U.S. Department of Agriculture (USDA) Forest Service, Region 5, accessed October 13, 2010","http://www.fs.fed.us/r5/noa/pdfs/knf_sitesandmines.pdf",ofr20111188
56,"Bodenlos (1950)","Bodenlos, A.J., 1950, Geology of the Red Mountain magnesite district, Santa Clara and Stanislaus Counties, California: California Journal of Mines and Geology, v. 46, no. 2, p. 223-278.",,ofr20111188
57,"Bowen (1954)","Bowen, O.E., Jr., 1954, Geology and mineral deposits of Barstow quadrangle, San Bernardino County, California: California Division of Mines Bulletin 165, 208 p., 9 plates.",,ofr20111188
58,"Bowen and Gray (1957)","Bowen, O.E., Jr., and Gray, C.H., Jr., 1957, Mines and mineral deposits of Mariposa County, California: California Journal of Mines and Geology, v. 53, nos. 1 and 2, p. 35-343.",,ofr20111188
60,"Brice (1953)","Brice, J.C., 1953, Geology of Lower Lake quadrangle, California: California Division of Mines Bulletin 166, 72 p., 7 plates.",,ofr20111188
61,"Brown (1915)","Brown, G.C., 1915, Kern County: California State Mining Bureau, Report XIV of the State Mineralogist, Part IV, Chapter II, p. 471-523.",,ofr20111188
62,"Carlson and Clark (1954)","Carlson, D.W., and Clark, W.B., 1954, Mines and mineral resources of Amador County, California: California Journal of Mines and Geology, v. 50, no. 1, p. 149-285.",,ofr20111188
63,"Case and others (2011)","Case, B.W., Abraham, J.L., Meeker, G., Pooley, F.D., and Pinkerton, K.E., 2011, Applying definitions of ""asbestos"" to environmental and ""low-dose"" exposure levels and health effects, particularly malignant mesothelioma: Journal of Toxicology and Environmental Health, Part B, v. 14, issue 1-4, p. 3-39.",,ofr20111188
64,"Castor (2008)","Castor, S.B., 2008, The Mountain Pass rare-earth carbonatite and associated ultrapotassic rocks, California: The Canadian Mineralogist, v. 46, no. 4, p. 779-806.",,ofr20111188
65,"Castor and Nason (2004)","Castor, S.B., and Nason, G.W., 2004, Mountain Pass rare earth deposit, California, in Castor, S.B., Papke, K.G., and Meeuwig, R.O., eds., Betting on industrial minerals--Proceedings of the 39th forum on the geology of industrial minerals, Reno/Sparks, Nev., May 18-24, 2003: Nevada Bureau of Mines and Geology Special Publication 33, p. 68-81.",,ofr20111188
66,"Cater (1948)","Cater, F.W., 1948, Chromite deposits of Calaveras and Amador Counties, California, in Geological investigations of chromite in California, Part III--Sierra Nevada: California Division of Mines Bulletin 134, Part III, Chapter 2, 60 p.",,ofr20111188
67,"Chandra (1961)","Chandra, D.K., 1961, Geology and mineral deposits of the Colfax and Foresthill quadrangles, California: California Division of Mines Special Report 67, 50 p., 4 plates.",,ofr20111188
68,"Chesterman (1942)","Chesterman, C.W., 1942, Contact metamorphic rocks of the Twin Lakes region, Fresno County, California: California Journal of Mines and Geology, v. 38, nos. 3 and 4, p. 243-281.",,ofr20111188
69,"Chesterman (1966)","Chesterman, C.W., 1966, Mineralogy of the Laytonville quarry, Mendocino County, California, in Bailey, E.H., ed., Geology of northern California: California Division of Mines and Geology Bulletin 190, p. 503-507.",,ofr20111188
70,"Chesterman (1975)","Chesterman, C.W., 1975, Geology of the Matterhorn Peak 15-minute quadrangle, Mono and Tuolumne Counties, California: California Division of Mines and Geology Map Sheet 22, scale 1:48,000.",,ofr20111188
71,"Chesterman (1976a)","Chesterman, C.W., 1976a, Intrusive ultrabasic rocks and their metamorphic relationships at Leech Lake Mountain, Mendocino County, California [Reprinted from Special Report 82, 1963], in California jade--A collection of reprints: California Division of Mines and Geology Special Publication 49, p. 35-40.",,ofr20111188
72,"Chesterman (1976b)","Chesterman, C.W., 1976b, Nephrite in Marin County, California [Reprinted from Special Report 10-B, July 1951], in California jade--A collection of reprints: California Division of Mines and Geology Special Publication 49, p. 19-27.",,ofr20111188
73,"Chidester and Shride (1962)","Chidester, A.H., and Shride, A.F., 1962, Asbestos in the United States--Exclusive of Alaska and Hawaii: U.S. Geological Survey Mineral Investigations Resource Map MR-17, scale 1:3,168,000, includes 11 p. pamphlet.","http://pubs.er.usgs.gov/publication/mr17",ofr20111188
74,"Clark (1954)","Clark, L.D., 1954, Geology and mineral deposits of the Calaveritas quadrangle, Calaveras County, California: California Division of Mines Special Report 40, 23 p., 2 plates.",,ofr20111188
75,"Clark and Carlson (1956)","Clark, W.B., and Carlson, D.W., 1956, Mines and mineral resources of El Dorado County, California: California Journal of Mines and Geology, v. 52, no. 4, p. 369-591.",,ofr20111188
76,"Clark and Lydon (1962)","Clark, W.B., and Lydon, P.A., 1962, Mines and mineral resources of Calaveras County, California: California Division of Mines and Geology County Report 2, 217 p., 4 plates.",,ofr20111188
77,"Clark and others (1963)","Clark, L.D., Stromquist, A.A., and Tatlock, D.B., 1963, Geologic map of the San Andreas quadrangle, Calaveras County, California: U.S. Geological Survey Geologic Quadrangle Map GQ-222, scale 1:62,500.","http://pubs.er.usgs.gov/publication/gq222",ofr20111188
78,"Coleman and Keith (1971)","Coleman, R.G., and Keith, T.E., 1971, A chemical study of serpentinization--Burro Mountain, California: Journal of Petrology, v. 12, issue 2, p. 311-328.",,ofr20111188
79,"Cooke (1947)","Cooke, H.R., Jr., 1947, The original Sixteen to One gold-quartz vein, Alleghany, California: Economic Geology, v. 42, no. 3, p. 211-250.","http://econgeol.geoscienceworld.org/cgi/reprint/42/3/211",ofr20111188
80,"Cooney (1956)","Cooney, R.L., 1956, The mineralogy of the Jensen and Henshaw quarries near Riverside, California: Los Angeles, Calif., University of California at Los Angeles, M.S. thesis, 59 p.",,ofr20111188
81,"Cooper and others (2003)","Cooper, J.F., Jr., Dunning, G.E., and Hadley, T.A., 2003,  Mineralogy of the Victor claim, Clear Creek area, New Idria District, San Benito County, California: Menlo Park, Calif., Bay Area Mineralogists, 12 p., accessed October 14, 2010","http://www.baymin.org/Pubs/Victor_Claim.pdf",ofr20111188
82,"Cornelius (1986)","Cornelius, R.R., 1986, Geology and structure of the Rock Creek Butte area, Del Norte County, Klamath Mountains, California: California Geology, v. 39, no. 9, p. 195-201.",,ofr20111188
83,"Coveney (1981)","Coveney, R.M., Jr., 1981, Gold quartz veins and auriferous granite at the Oriental mine, Alleghany district, California: Economic Geology, v. 76, p. 2176-2199.","http://econgeol.geoscienceworld.org/cgi/reprint/76/8/2176",ofr20111188
84,"Creasey (1946)","Creasey, S.C., 1946, Geology and nickel mineralization of the Julian-Cuyamaca area, San Diego County, California: California Journal of Mines and Geology, v. 42, no. 1, p. 15-29.",,ofr20111188
85,"Crippen (1976)","Crippen, R.A., Jr., 1976, Nephrite jade and associated rocks of the Cape San Martin region, Monterey County, California [Reprinted from Special Report 10-A, May 1951], in California jade--A collection of reprints: California Division of Mines and Geology Special Publication 49, p. 7-18.",,ofr20111188
86,"Davis (1948)","Davis, F.F., 1948, Mines and mineral resources of Napa County, California: California Journal of Mines and Geology, v. 44, no. 2, p. 159-188.",,ofr20111188
87,"Davis (1950)","Davis, F.F., 1950, Mines and mineral resources of Alameda County, California: California Journal of Mines and Geology, v. 46, no. 2, p. 279-348.",,ofr20111188
88,"Davis (1963)","Davis, F.F., 1963, Highlights in California mining, 1962: California Division of Mines and Geology, Mineral Information Service, v. 16, no. 2, p. 1-8.",,ofr20111188
89,"Davis and Fischer (1958)","Davis, L.E., and Fischer, W.C., 1958, The mineral industry of California, in Minerals yearbook, 1955, volume III--Area reports: U.S. Bureau of Mines, p. 161-238.",,ofr20111188
90,"Davis and Goldman (1958)","Davis, F.F., and Goldman, H.B., 1958, Mines and mineral resources of Contra Costa County, California: California Journal of Mines and Geology, v. 54, no. 4, p. 501-583.",,ofr20111188
91,"DeVito and Ordway (1984)","DeVito, Fred, and Ordway, Al, Jr., 1984, The Jensen quarry, Riverside County, California: The Mineralogical Record, v. 15, no. 5, p. 273-290.",,ofr20111188
92,"Dubois and Brummett (1968)","Dubois, R.L., and Brummett, R.W., 1968, Geology of the Eagle Mountain mine area, in Ridge, J.D., ed., Ore deposits of the United States, 1933-1967, The Graton-Sales volume, v. II: New York, The American Institute of Mining, Metallurgical, and Petroleum Engineers, Inc., p. 1592-1606.",,ofr20111188
93,"Evans and Bowen (1977)","Evans, J.R., and Bowen, O.E., 1977, Geology of the southern Mother Lode, Tuolumne and Mariposa Counties, California: California Division of Mines and Geology Map Sheet 36, scale 1:24,000.",,ofr20111188
94,"Evans and others (1976)","Evans, J.R., Taylor, G.C., and Rapp, J.S., 1976, Mines and mineral deposits in Death Valley National Monument, California: California Division of Mines and Geology Special Report 125, p. 35-59.",,ofr20111188
95,"Faust and Fahey (1962)","Faust, G.T., and Fahey, J.J., 1962, The serpentine-group minerals: U.S. Geological Survey Professional Paper 384-A, 92 p.","http://pubs.er.usgs.gov/publication/pp384A",ofr20111188
96,"Ferguson and Gannett (1932)","Ferguson, H.G., and Gannett, R.W., 1932, Gold quartz veins of the Alleghany district, California: U.S. Geological Survey Professional Paper 172, 139 p., 58 plates.","http://pubs.er.usgs.gov/publication/pp172",ofr20111188
97,"Fife (1980)","Fife, D.L., 1980, Goldbelt Springs chrysotile asbestos deposit, Death Valley, California, in Fife, D.L., and Brown, A.R., eds., Geology and mineral wealth of the California desert: Santa Ana, Calif., South Coast Geological Society, p. 299-302.",,ofr20111188
98,"Fife (1984)","Fife, D.L., 1984, Goldbelt Springs chrysotile asbestos deposit, Death Valley, Inyo County, California: California Geology, v. 37, no. 10, p. 221-223.",,ofr20111188
99,"Franklin (1965)","Franklin, R.H., 1965, Grantham mines talc operation: Mining Engineering, v. 17, no. 8, p. 49.",,ofr20111188
100,"Gay and Hoffman (1954)","Gay, T.E., Jr., and Hoffman, S.R., 1954, Mines and mineral deposits of Los Angeles County, California: California Journal of Mines and Geology, v. 50, nos. 3 and 4, p. 467-709.",,ofr20111188
101,"Goodwin (1958)","Goodwin, J.G., 1958, Mines and mineral resources of Tulare County, California: California Journal of Mines and Geology, v. 54, no. 3, p. 317-492.",,ofr20111188
