Reference,Region,Study design,Fauna,Interaction,Vegetation response,Mean value at High Fauna,SD at High Fauna,High Fauna N,Mean value at Low Fauna,SD at Low Fauna,Low Fauna N
"Anderson, S.H., Kelly, D., Ladley, J.J., Molloy, S., Terry, J. (2011) Cascading effects of bird functional extinction reduce pollination and plant density. Science 331, 1068-1071",Australasia and Oceania,Observed,Birds,Pollination,Species density,33.6,24.82,5,12.9,3.46,3
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.97,0.14,2,0.04,0.02,2
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.006,0.01,2,0.03,0.02,2
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.99,0.17,2,0.06,0.02,2
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.127,0.05,2,0.016,0.01,2
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.15,0.06,2,0.023,0.01,2
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.038,0.04,2,0.045,0.02,2
"Anzures-Dadda, A., Andresen, E., martinez, M.L., Manson, R.H. (2011) Absence of howlers (Alouatta paalliata) influences tree seedling densities in tropical rain forest fragments in southern Mexico. International Journal of Primatology. 32, 634-651",Neotropics,Observed,Primates,Seed dispersal,Species density,0.021,0.01,2,0.0105,0.01,2
"Asquith, N.M., Terborgh, J., Arnold, A.E., Riveros, N., Carolina, N. (1999)The fruits the agouti ate: Hymenaea courbaril seed fate when its disperser is absent. Journal of Tropical Ecology 15, 229-235",Neotropics,Observed,Rodents,Seed dispersal,Species density,22,22.86,12,1.33,2.32,12
"Bongi, P., Tomaselli, M., Petraglia, A., Tintori, D. and Carbognanai, M. (2017) Wild boar impact on forest regeneration in the northern Apennines (Italy). Forest Ecology and Management. 391, 230-238 ",Europe,Manipulated,Ungulates,Herbivory,Community density,3.28,1.83,4,7.75,3.46,4
"Bongi, P., Tomaselli, M., Petraglia, A., Tintori, D. and Carbognanai, M. (2017) Wild boar impact on forest regeneration in the northern Apennines (Italy). Forest Ecology and Management. 391, 230-238 ",Europe,Manipulated,Ungulates,Herbivory,Community density,7.36,2.37,4,8.76,2.885,4
"Bongi, P., Tomaselli, M., Petraglia, A., Tintori, D. and Carbognanai, M. (2017) Wild boar impact on forest regeneration in the northern Apennines (Italy). Forest Ecology and Management. 391, 230-238 ",Europe,Manipulated,Ungulates,Herbivory,Community density,1.2,0.26,4,3.26,0.97,4
"Bongi, P., Tomaselli, M., Petraglia, A., Tintori, D. and Carbognanai, M. (2017) Wild boar impact on forest regeneration in the northern Apennines (Italy). Forest Ecology and Management. 391, 230-238 ",Europe,Manipulated,Ungulates,Herbivory,Community density,3.48,1.83,4,11.63,3.72,4
"Bongi, P., Tomaselli, M., Petraglia, A., Tintori, D. and Carbognanai, M. (2017) Wild boar impact on forest regeneration in the northern Apennines (Italy). Forest Ecology and Management. 391, 230-238 ",Europe,Manipulated,Ungulates,Herbivory,Community density,7.5,2.37,4,12.65,2.395,4
"Bongi, P., Tomaselli, M., Petraglia, A., Tintori, D. and Carbognanai, M. (2017) Wild boar impact on forest regeneration in the northern Apennines (Italy). Forest Ecology and Management. 391, 230-238 ",Europe,Manipulated,Ungulates,Herbivory,Community density,1.37,0.41,4,5.61,0.795,4
"Brocardo, C.R., Zipparro, V.B., de Lima, R.A.F., Guevara, R., and Galetti, M. (2013). No changes in seedling recruitment when terrestrial mammals are excluded in a partially defaunated Atlantic rainforest. Biological Conservation 163, 107-114.",Neotropics,Manipulated,Multiple,Non-specific,Community richness,13.8,6.2,15,13.1,5.81,15
"Calle-Rendon, B.R., Peck, M., Bennett, S.E., Morelos-Juarez, C., and Alfonso, F. (2016). Comparison of forest regeneration in two sites with different primate abundances in Northwestern Ecuador. Revista De Biologia Tropical 64, 493-506.",Neotropics,Observed,Primates,Seed dispersal,Community richness,3,1.46,30,1.6,1.47,30
"Calle-Rendon, B.R., Peck, M., Bennett, S.E., Morelos-Juarez, C., and Alfonso, F. (2016). Comparison of forest regeneration in two sites with different primate abundances in Northwestern Ecuador. Revista De Biologia Tropical 64, 493-506.",Neotropics,Observed,Primates,Seed dispersal,Community density,3.8,1.9,30,1.9,2.15,30
"Camargo-Sanabria, A.A., Mendoza, E., Guevaraa, R., martinez-Ramos, M., Dirzo, R. 2015)Experimental defaunation of terrestrial mammalian herbivores alters tropical rainforest understorey diversity. Proceedings of the Royal Society B 282: 20142580",Neotropics,Manipulated,Multiple,Non-specific,Community density,19.48,22.05,25,29.13,27.25,25
"Chaves, O.M., Arroyo-Rodriguez, V., Martinez-Ramos, M., and Stoner, K.E. (2015). Primate Extirpation From Rainforest Fragments Does Not Appear to Influence Seedling Recruitment. American Journal of Primatology 77, 468-478.",Neotropics,Observed,Primates,Seed dispersal,Community density,692,271,3,797.5,166,3
"Chaves, O.M., Arroyo-Rodriguez, V., Martinez-Ramos, M., and Stoner, K.E. (2015). Primate Extirpation From Rainforest Fragments Does Not Appear to Influence Seedling Recruitment. American Journal of Primatology 77, 468-478.",Neotropics,Observed,Primates,Seed dispersal,Community richness,37.4,1.6,3,44.3,2.1,3
"Cramer, J.M., Mesquita, R.C.G., Bentos, T.V., Moser, B., Williamson, G.B., 2007. )Forest fragmentation reduces seed dispersal of Duckeodendron cestroides, a Central Amazon endemic. Biotropica 39: 709-718",Neotropics,Observed,Multiple,Seed dispersal,Species dispersion,2.41,1.98,6,0.55,1.08,5
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,7.6,8.91,18,9.7,11.03,18
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,0.76,2.21,18,4.64,6.75,18
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,2.68,3.78,18,4.36,7.09,18
"Dexter, N., Hudson, M., James, S., MacGregor, C. & Lindenmayer, D.B. (2013))Unintended consequences of invasive predator control in an Australian forest: overabundant wallabies and vegetation change. PLoS ONE 8, e69087.",Australasia and Oceania,Manipulated,Marsupials,Herbivory,Species density,5.19,3.9,18,6.11,5.39,18
"Effiom, E.O., Nunez-Iturri, G., Smith, H.G., Ottosson, U., and Olsson, O. (2013). Bushmeat hunting changes regeneration of African rainforests. Proceedings of the Royal Society B-Biological Sciences 280.",Africa,Observed,Multiple,Seed dispersal,Community density,3.13,0.56,3,1.3,0.25,3
