Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction,3rdCountry
1990,19300,4050,0.33,3523.00,USSR,1567.00,Canada,1234.00,Australia
1991,19700,4121,0.32,3251.00,USSR,1822.00,Canada,1228.00,Australia
1992,19500,4042,0.30,2700.00,Russia,1972.00,Canada,1236.00,Australia
1993,19800,3695,0.33,2820.00,Russia,2308.00,Canada,1381.00,Australia
1994,19200,3299,0.33,2670.00,Russia,2255.00,Canada,1450.00,China
1995,19700,3375,0.33,2724.00,Russia,2172.00,Canada,1680.00,China
1996,20800,3577,0.33,2874.00,Russia,2283.00,Canada,1770.00,China
1997,21700,3603,0.33,2906.00,Russia,2327.00,Canada,1960.00,China
1998,22600,3713,0.34,3005.00,Russia,2374.00,Canada,2340.00,China
1999,23600,3779,0.34,3146.00,Russia,2530.00,China,2390.00,Canada
2000,24300,3668,0.35,3245.00,Russia,2800.00,China,2373.00,Canada
2001,24300,2637,0.38,3300.00,Russia,3250.00,China,2583.00,Canada
2002,26100,2707,0.40,4510.00,China,3347.41,Russia,2708.91,Canada
2003,28000,2703,0.44,5970.00,China,3478.06,Russia,2791.92,Canada
2004,29900,2516,0.44,6900.00,China,3591.75,Russia,2592.16,Canada
2005,31009,2481,0.46,7800.00,China,3647.07,Russia,2894.20,Canada
2006,33900,2284,0.48,9360.00,China,3717.91,Russia,3051.13,Canada
2007,38000,2554,0.52,12600.00,China,3955.00,Russia,3083.00,Canada
2008,39600,2658,0.52,13200.00,China,4190.00,Russia,3120.00,Canada
2009,36900,1727,0.54,12900.00,China,3815.00,Russia,3030.00,Canada
2010,40800,1726,0.57,16200.00,China,3947.00,Russia,2963.00,Canada
