Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction,3rdCountry
1990,5300.88,0.37,1090.00,Japan,540.00,Germany,350.00,Italy,
1991,5223.90,0.38,1090.00,Japan,540.00,Germany,343.00,Italy,
1992,5901.20,0.34,1096.00,Japan,541.60,Germany,353.10,Italy,
1993,5918.55,0.33,1074.00,Japan,535.60,Germany,346.10,Italy,
1994,6386.16,0.27,1006.00,Japan,408.10,Germany,318.90,Italy,
1995,6899.29,0.29,1175.00,Japan,397.90,Germany,412.30,Italy,
1996,6921.62,0.30,1181.00,Japan,531.00,Germany,376.60,Italy,
1997,7513.38,0.28,1191.00,Japan,442.90,Italy,432.50,Germany,
1998,7477.76,0.30,1277.00,Japan,502.60,Italy,453.30,Germany,
1999,8426.97,0.25,1155.00,Japan,501.80,Italy,482.70,Germany,
2000,8783.22,0.27,1158.00,Japan,657.50,Italy,572.30,Germany,
2001,8149.02,0.30,1214.00,Japan,620.30,Germany,574.90,Germany,
2002,9203.10,0.33,1171.00,Japan,1200.00,China,666.10,Germany,
2003,9413.33,0.36,1450.00,China,1261.00,Japan,680.40,Germany,
2004,9774.46,0.35,1660.00,China,1015.00,Italy,703.76,Germany,
2005,9795.23,0.39,1940.00,China,1120.85,Italy,718.29,Germany,
2006,11775.75,0.38,2350.00,China,1277.80,Italy,795.67,Germany,
2007,11997.80,0.41,2750.00,China,1318.88,Italy,857.62,Germany,
2008,11123.87,0.42,2700.00,China,1282.92,Italy,720.90,Germany,
2009,10001.43,0.45,3100.00,China,826.98,Italy,560.76,Germany,
2010,11386.11,0.51,4000.00,China,1246.24,Italy,611.14,Germany,
