Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction
1990,94.40,0.72,54.80,China,8.45,Bolivia,4.82,SouthAfrica
1991,92.40,0.88,58.30,China,16.00,USSR,7.29,Bolivia
1992,90.10,0.83,59.00,China,10.00,Russia,6.02,Bolivia
1993,87.00,0.84,60.00,China,7.12,Russia,5.56,Bolivia
1994,118.00,0.89,91.00,China,7.05,Bolivia,7.00,Russia
1995,151.00,0.91,125.00,China,6.43,Bolivia,6.00,Russia
1996,156.00,0.91,129.00,China,6.49,Bolivia,6.00,Russia
1997,154.00,0.93,131.00,China,6.00,Russia,6.00,Bolivia
1998,116.00,0.92,97.40,China,4.74,Bolivia,4.24,SouthAfrica
1999,107.00,0.92,89.60,China,5.28,SouthAfrica,4.00,Russia
2000,126.00,0.94,110.00,China,4.50,Russia,4.10,SouthAfrica
2001,157.00,0.95,140.00,China,4.93,SouthAfrica,4.50,Russia
2002,118.00,0.92,100.00,China,5.75,SouthAfrica,3.00,Tajikistan
2003,116.00,0.93,100.00,China,5.29,SouthAfrica,2.59,Bolivia
2004,142.00,0.94,125.00,China,4.97,SouthAfrica,3.00,Russia
2005,172.00,0.95,152.00,China,5.98,SouthAfrica,5.10,Bolivia
2006,173.00,0.94,153.00,China,5.46,Bolivia,4.36,SouthAfrica
2007,180.00,0.95,163.00,China,3.88,Bolivia,3.50,Russia
2008,182.00,0.95,166.00,China,3.91,Bolivia,3.50,Russia
2009,154.00,0.95,140.00,China,3.50,Russia,2.99,Bolivia
2010,167.00,0.95,150.00,China,4.98,Bolivia,3.00,Russia
