Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction
1990,5770,0.50,1750,China,633,India,500,USSR
1991,5170,0.50,1500,China,615,India,450,USSR
1992,4570,0.52,1500,China,458,India,401,Morocco
1993,4570,0.52,1500,China,548,India,325,Morocco
1994,4470,0.51,1500,China,498,India,265,Morocco
1995,4870,0.52,1800,China,422,India,289,Morocco
1996,6090,0.60,2800,China,470,Mexico,370,India
1997,6780,0.63,3500,China,409,India,343,Morocco
1998,6460,0.68,3300,China,749,India,353,Morocco
1999,6160,0.68,3500,China,360,India,329,Morocco
2000,6560,0.71,3500,China,840,India,344,Morocco
2001,6740,0.73,3600,China,850,India,471,Morocco
2002,6160,0.73,3100,China,916,India,470,Morocco
2003,6730,0.69,3600,China,723,India,325,Morocco
2004,7670,0.69,3900,China,1100,India,313,Morocco
2005,7870,0.73,4200,China,1200,India,335,Morocco
2006,7910,0.74,4400,China,950,India,525,Morocco
2007,7790,0.76,4400,China,1000,India,500,Morocco
2008,8570,0.73,4600,China,1100,India,590,Morocco
2009,6430,0.73,3000,China,1200,India,520,Morocco
2010,7850,0.73,4000,China,1100,India,650,Morocco
