Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction
1990,113000.00,0.60,41391.00,Australia,15800.00,Guinea,10900.00,Jamaica
1991,111000.00,0.61,40510.00,Australia,15466.00,Guinea,11552.00,Jamaica
1992,105000.00,0.62,39746.00,Australia,13800.00,Guinea,11302.00,Jamaica
1993,110000.00,0.62,41320.00,Australia,15300.00,Guinea,11307.00,Jamaica
1994,106000.00,0.63,41733.00,Australia,13300.00,Guinea,11564.00,Jamaica
1995,112000.00,0.66,42655.00,Australia,15800.00,Guinea,15857.00,Jamaica
1996,117000.00,0.60,43063.00,Australia,15600.00,Guinea,11863.00,Jamaica
1997,122000.00,0.60,44465.00,Australia,16359.00,Guinea,11987.00,Jamaica
1998,123000.00,0.59,44553.00,Australia,15570.00,Guinea,12646.00,Jamaica
1999,129000.00,0.61,48416.00,Australia,15590.00,Guinea,14372.00,Brazil
2000,136000.00,0.61,53802.30,Australia,15700.00,Guinea,13866.00,Brazil
2001,137000.00,0.60,53799.00,Australia,15100.00,Guinea,13032.00,Brazil
2002,144000.00,0.56,54135.00,Australia,13260.00,Brazil,13120.00,Jamaica
2003,153000.00,0.56,55602.00,Australia,17363.00,Brazil,13444.00,Jamaica
2004,164000.00,0.58,56593.00,Australia,20950.00,Brazil,17000.00,China
2005,178000.00,0.58,59959.00,Australia,22034.00,Brazil,22000.00,China
2006,193000.00,0.58,61780.00,Australia,27000.00,China,22836.00,Brazil
2007,204000.00,0.58,62398.00,Australia,30000.00,China,25460.70,Brazil
2008,211000.00,0.59,61389.00,Australia,35000.00,China,28097.50,Brazil
2009,196000.00,0.68,65231.00,Australia,40000.00,China,28060.00,Brazil
2010,209000.00,0.68,68414.00,Australia,44000.00,China,29000.00,Brazil
