Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction,Country
1990,7.10,4.55,0.35,1.60,USSR,0.85,Brazil,0.03,Argentina
1991,6.57,4.34,0.33,1.30,USSR,0.85,Brazil,0.03,Argentina
1992,6.95,4.83,0.29,1.10,Russia,0.80,Brazil,0.10,Kazakhstan
1993,6.07,4.94,0.18,1.00,Russia,0.10,Kazakhstan,0.02,Namibia
1994,5.44,4.33,0.20,1.00,Russia,0.10,Kazakhstan,0.01,Brazil
1995,6.18,5.04,0.18,1.00,Russia,0.10,Kazakhstan,0.03,Madagascar
1996,6.38,5.26,0.17,1.00,Russia,0.10,Kazakhstan,0.01,Madagascar
1997,6.91,5.77,0.16,1.00,Russia,0.10,Kazakhstan,0.03,Madagascar
1998,7.22,6.08,0.16,1.00,Russia,0.10,Kazakhstan,0.03,Madagascar
1999,6.21,5.07,0.18,1.00,Russia,0.10,Kazakhstan,0.02,Madagascar
2000,5.66,4.51,0.20,1.00,Russia,0.10,Kazakhstan,0.02,Mozambique
2001,3.61,2.48,0.31,1.00,Russia,0.10,Kazakhstan,0.01,Brazil
2002,2.53,1.97,0.22,0.50,China,0.05,Mozambique,0.01,Portugal
2003,2.68,2.10,0.22,0.50,China,0.08,Mozambique,0.01,Portugal
2004,2.76,2.21,0.20,0.50,China,0.05,Mozambique,0.01,Portugal
2005,3.45,2.78,0.19,0.50,China,0.15,Mozambique,0.01,Madagascar
2006,4.36,3.83,0.12,0.50,China,0.02,Mozambique,0.01,Madagascar
2007,4.36,3.81,0.12,0.50,China,0.03,Mozambique,0.01,Madagascar
2008,4.94,4.41,0.11,0.50,China,0.01,Madagascar,0.01,Mozambique
2009,3.59,3.03,0.16,0.50,China,0.05,Mozambique,0.01,Madagascar
