Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction
1990,2910.00,0.54,1250.00,Turkey,180.00,USSR,144.00,Argentina
1991,2960.00,0.50,1210.00,Turkey,160.00,USSR,116.00,Argentina
1992,2670.00,0.52,1059.00,Turkey,203.00,Chile,125.00,Argentina
1993,2640.00,0.52,1079.00,Turkey,155.00,China,146.00,Argentina
1994,3810.00,0.62,1140.00,Turkey,1000.00,Russia,215.00,Argentina
1995,4170.00,0.58,1144.00,Turkey,1000.00,Russia,295.00,China
1996,4330.00,0.64,1447.00,Turkey,1000.00,Russia,342.00,Argentina
1997,4580.00,0.65,1569.00,Turkey,1000.00,Russia,423.00,Argentina
1998,4570.00,0.64,1650.00,Turkey,1000.00,Russia,280.00,Chile
1999,4470.00,0.63,1500.00,Turkey,1000.00,Russia,325.00,Chile
2000,4550.00,0.64,1402.00,Turkey,1000.00,Russia,513.00,Argentina
2001,4730.00,0.66,1493.00,Turkey,1000.00,Russia,634.00,Argentina
2002,4560.00,0.63,1342.00,Turkey,1000.00,Russia,510.00,Argentina
2003,4750.00,0.61,1399.00,Turkey,1000.00,Russia,512.00,Argentina
2004,4960.00,0.61,1588.00,Turkey,821.00,Argentina,594.00,Chile
2005,4950.00,0.62,1953.00,Turkey,633.00,Argentina,461.00,Chile
2006,3620.00,0.78,1819.00,Turkey,534.00,Argentina,460.00,Chile
2007,4200.00,0.79,2128.00,Turkey,670.00,Argentina,528.00,Chile
2008,4480.00,0.78,2139.00,Turkey,786.00,Argentina,583.00,Chile
2009,3760.00,0.77,1800.00,Turkey,608.00,Chile,500.00,Argentina
2010,4080.00,0.76,2000.00,Turkey,600.00,Argentina,504.00,Chile
