Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction
1990,390.00,0.47,130.00,Israel,28.00,UK,25.00,USSR
1991,391.90,0.48,135.00,Israel,29.30,UK,24.00,USSR
1992,397.00,0.46,135.00,Israel,29.90,UK,16.70,China
1993,392.00,0.48,135.00,Israel,27.40,UK,24.60,China
1994,421.00,0.48,135.00,Israel,33.80,UK,31.40,China
1995,432.00,0.44,130.00,Israel,32.70,UK,26.20,China
1996,483.00,0.48,160.00,Israel,41.40,China,30.60,UK
1997,542.00,0.49,180.00,Israel,50.10,China,35.60,UK
1998,521.00,0.50,185.20,Israel,40.00,China,35.90,UK
1999,547.00,0.51,181.00,Israel,55.00,UK,42.00,China
2000,542.00,0.52,210.00,Israel,42.00,China,32.00,UK
2001,523.00,0.54,206.00,Israel,40.00,China,35.00,UK
2002,540.00,0.52,206.00,Israel,42.00,China,35.00,UK
2003,494.00,0.55,176.00,Israel,75.00,China,20.00,Japan
2004,565.00,0.56,202.00,Israel,80.00,China,34.00,Jordan
2005,631.00,0.60,207.00,Israel,105.00,China,66.00,Jordan
2006,671.00,0.56,179.49,Israel,124.00,China,69.00,Jordan
2007,415.00,0.92,159.40,Israel,137.00,China,85.11,Jordan
2008,415.00,0.93,164.04,Israel,135.00,China,85.00,Jordan
2009,378.00,0.92,127.69,Israel,140.00,China,80.00,Jordan
2010,450.00,0.93,185.00,Israel,150.00,China,85.00,Jordan
