Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction
1990,20.20,0.36,2.80,USSR,2.45,Japan,1.96,Belgium/Lux.
1991,20.90,0.35,2.89,Japan,2.50,USSR,1.83,Canada
1992,19.90,0.33,2.99,Japan,1.96,Canada,1.55,Belgium/Lux.
1993,18.40,0.34,2.83,Japan,1.94,Canada,1.57,Belgium/Lux.
1994,18.20,0.35,2.63,Japan,2.17,Canada,1.56,Belgium/Lux.
1995,20.10,0.33,2.65,Japan,2.35,Canada,1.71,Belgium/Lux.
1996,18.90,0.34,2.54,Japan,2.34,Canada,1.58,Belgium/Lux.
1997,20.30,0.33,2.47,Japan,2.26,Belgium/Lux.,2.06,Germany
1998,20.20,0.32,2.34,Japan,2.13,Canada,2.09,Belgium/Lux.
1999,20.20,0.33,2.57,Japan,2.15,Canada,1.91,Belgium/Lux.
2000,20.30,0.33,2.47,Japan,2.37,Canada,1.94,Belgium/Lux.
2001,19.00,0.36,2.51,Canada,2.46,Japan,1.88,Kazakhstan
2002,17.80,0.38,2.44,Japan,2.44,Canada,1.83,Kazakhstan
2003,18.40,0.40,2.71,Canada,2.50,Japan,2.18,Kazakhstan
2004,18.70,0.40,2.80,Canada,2.36,Kazakhstan,2.23,Japan
2005,20.20,0.39,3.00,Canada,2.58,Kazakhstan,2.30,Japan
2006,19.90,0.47,3.79,Canada,3.32,Kazakhstan,2.29,Japan
2007,19.40,0.47,4.21,Canada,2.85,Kazakhstan,2.10,China
2008,22.80,0.53,6.96,Canada,3.09,Kazakhstan,2.12,Japan
2009,20.80,0.54,7.00,Canada,2.50,Kazakhstan,1.82,Japan
2010,21.10,0.56,7.20,Canada,2.50,Kazakhstan,2.05,Japan
