"Table 14. Global production of mined chromite, the three leading producing countries, and the concentration ratio of the top three producing countries (thousand metric tons).",,,,,,,,
,,,,,,,,
Year,World mine production,Concentration ratio,1st Mine production,1st Country,2nd Mine production,2nd Country,3rd Mine production,3rd Country
1990," 	3,960.00 ", 	0.72 ," 	1,386.00 ",S. Africa," 	1,140.00 ",USSR, 	315.00 ,India
1991," 	3,990.00 ", 	0.74 ," 	1,530.00 ",S. Africa," 	1,140.00 ",USSR, 	282.00 ,India
1992," 	3,330.00 ", 	0.72 ," 	1,008.00 ",S. Africa," 	1,050.00 ",Kazakhstan, 	324.00 ,India
1993," 	2,790.00 ", 	0.72 , 	852.00 ,S. Africa, 	870.00 ,Kazakhstan, 	300.00 ,India
1994," 	3,120.00 ", 	0.64 ," 	1,092.00 ",S. Africa, 	630.00 ,Kazakhstan, 	272.70 ,India
1995," 	4,200.00 ", 	0.65 ," 	1,527.00 ",S. Africa, 	726.00 ,Kazakhstan, 	462.00 ,India
1996," 	3,480.00 ", 	0.66 ," 	1,523.40 ",S. Africa, 	408.96 ,India, 	357.00 ,Kazakhstan
1997," 	4,110.00 ", 	0.68 ," 	1,848.60 ",S. Africa, 	539.49 ,Kazakhstan, 	408.91 ,India
1998," 	4,020.00 ", 	0.70 ," 	1,944.00 ",S. Africa, 	480.81 ,Kazakhstan, 	393.39 ,India
1999," 	4,260.00 ", 	0.75 ," 	2,045.12 ",S. Africa, 	721.68 ,Kazakhstan, 	441.83 ,India
2000," 	4,410.00 ", 	0.76 ," 	1,986.60 ",S. Africa, 	781.98 ,Kazakhstan, 	584.07 ,India
2001," 	3,660.00 ", 	0.76 ," 	1,650.60 ",S. Africa, 	613.71 ,Kazakhstan, 	503.38 ,India
2002," 	4,380.00 ", 	0.79 ," 	1,930.72 ",S. Africa, 	809.57 ,India, 	710.82 ,Kazakhstan
2003," 	4,650.00 ", 	0.81 ," 	2,221.62 ",S. Africa, 	878.34 ,Kazakhstan, 	663.00 ,India
2004," 	5,370.00 ", 	0.78 ," 	2,303.10 ",S. Africa, 	986.13 ,Kazakhstan, 	884.68 ,India
2005," 	5,760.00 ", 	0.75 ," 	2,265.60 ",S. Africa," 	1,074.37 ",Kazakhstan, 	976.55 ,India
2006," 	5,910.00 ", 	0.73 ," 	2,225.50 ",S. Africa," 	1,080.12 ",India," 	1,009.82 ",Kazakhstan
2007," 	6,870.00 ", 	0.73 ," 	2,894.09 ",S. Africa," 	1,106.16 ",Kazakhstan, 	996.00 ,India
2008," 	7,230.00 ", 	0.71 ," 	2,904.79 ",S. Africa," 	1,170.00 ",India," 	1,088.70 ",Kazakhstan
2009," 	5,790.00 ", 	0.72 ," 	2,059.66 ",S. Africa," 	1,128.00 ",India, 	999.96 ,Kazakhstan
