Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,3960.00,0.72,1386.00,S.Africa,1140.00,USSR,315.00,India
1991,3990.00,0.74,1530.00,S.Africa,1140.00,USSR,282.00,India
1992,3330.00,0.72,1008.00,S.Africa,1050.00,Kazakhstan,324.00,India
1993,2790.00,0.72,852.00,S.Africa,870.00,Kazakhstan,300.00,India
1994,3120.00,0.64,1092.00,S.Africa,630.00,Kazakhstan,272.70,India
1995,4200.00,0.65,1527.00,S.Africa,726.00,Kazakhstan,462.00,India
1996,3480.00,0.66,1523.40,S.Africa,408.96,India,357.00,Kazakhstan
1997,4110.00,0.68,1848.60,S.Africa,539.49,Kazakhstan,408.91,India
1998,4020.00,0.70,1944.00,S.Africa,480.81,Kazakhstan,393.39,India
1999,4260.00,0.75,2045.12,S.Africa,721.68,Kazakhstan,441.83,India
2000,4410.00,0.76,1986.60,S.Africa,781.98,Kazakhstan,584.07,India
2001,3660.00,0.76,1650.60,S.Africa,613.71,Kazakhstan,503.38,India
2002,4380.00,0.79,1930.72,S.Africa,809.57,India,710.82,Kazakhstan
2003,4650.00,0.81,2221.62,S.Africa,878.34,Kazakhstan,663.00,India
2004,5370.00,0.78,2303.10,S.Africa,986.13,Kazakhstan,884.68,India
2005,5760.00,0.75,2265.60,S.Africa,1074.37,Kazakhstan,976.55,India
2006,5910.00,0.73,2225.50,S.Africa,1080.12,India,1009.82,Kazakhstan
2007,6870.00,0.73,2894.09,S.Africa,1106.16,Kazakhstan,996.00,India
2008,7230.00,0.71,2904.79,S.Africa,1170.00,India,1088.70,Kazakhstan
2009,5790.00,0.72,2059.66,S.Africa,1128.00,India,999.96,Kazakhstan
