Year,Worldrefinedproduction,Concentrationratio,1stRefinedproduction,1stCountry,2ndRefinedproduction,2ndCountry,3rdRefinedproduction,3rdCountry
1990,1885.00,0.55,510.00,S.Africa,350.00,USSR,170.00,China
1991,1940.00,0.57,575.00,S.Africa,350.00,USSR,190.00,China
1992,1810.00,0.44,385.50,S.Africa,200.00,Kazakhstan,205.00,China
1993,1635.00,0.47,417.00,S.Africa,164.00,Kazakhstan,186.00,China
1994,1850.00,0.50,550.00,S.Africa,186.50,Kazakhstan,185.00,China
1995,2355.00,0.54,760.00,S.Africa,256.00,Kazakhstan,250.00,China
1996,1975.00,0.57,739.00,S.Africa,176.00,Kazakhstan,211.50,China
1997,2415.00,0.63,969.75,S.Africa,300.00,Kazakhstan,240.00,China
1998,2375.00,0.63,1012.65,S.Africa,267.50,Kazakhstan,212.00,China
1999,2500.00,0.66,1077.60,S.Africa,365.78,Kazakhstan,200.00,China
2000,2875.00,0.67,1287.00,S.Africa,399.88,Kazakhstan,225.00,China
2001,2340.00,0.69,1070.50,S.Africa,380.95,Kazakhstan,155.00,China
2002,2525.00,0.70,1175.56,S.Africa,417.90,Kazakhstan,165.00,China
2003,3035.00,0.71,1406.50,S.Africa,496.50,Kazakhstan,250.00,China
2004,3295.00,0.86,1982.50,S.Africa,540.50,Kazakhstan,320.00,China
2005,3445.00,0.70,1406.00,S.Africa,578.08,Kazakhstan,425.00,China
2006,3670.00,0.71,1515.00,S.Africa,600.00,Kazakhstan,500.00,China
2007,4185.00,0.74,1776.00,S.Africa,653.77,Kazakhstan,650.00,China
2008,4030.00,0.74,1634.50,S.Africa,750.00,China,610.16,Kazakhstan
2009,3500.00,0.78,1400.00,S.Africa,775.00,China,550.00,Kazakhstan
