Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,42.30,0.74,19.00,Zaire,7.00,Zambia,5.50,USSR
1991,33.30,0.68,9.90,Zaire,6.99,Zambia,5.80,USSR
1992,28.00,0.63,6.91,Zambia,5.70,Zaire,5.10,Canada
1993,21.90,0.61,5.11,Canada,4.84,Zambia,3.50,Russia
1994,18.00,0.60,4.27,Canada,3.60,Zambia,3.00,Russia
1995,24.50,0.60,5.34,Canada,5.91,Zambia,3.50,Russia
1996,26.20,0.61,6.96,Zambia,5.71,Canada,3.30,Russia
1997,27.40,0.56,6.04,Zambia,5.71,Canada,3.50,Congo-K
1998,35.30,0.60,11.90,Zambia,5.86,Canada,3.30,Australia
1999,32.70,0.55,7.00,Congo-K,5.32,Canada,5.64,Zambia
2000,37.90,0.58,11.00,Congo-K,5.60,Australia,5.30,Canada
2001,44.80,0.44,8.00,Zambia,6.30,Australia,5.33,Canada
2002,52.20,0.60,14.60,Congo-K,10.00,Zambia,6.80,Australia
2003,52.90,0.61,14.80,Congo-K,11.30,Zambia,6.00,Australia
2004,60.30,0.59,20.20,Congo-K,10.00,Zambia,5.60,Australia
2005,65.20,0.60,24.50,Congo-K,9.30,Zambia,5.60,Australia
2006,68.90,0.60,27.10,Congo-K,8.00,Zambia,6.00,Australia
2007,71.50,0.58,25.40,Congo-K,8.69,Canada,7.50,Zambia
2008,76.30,0.63,32.30,Congo-K,8.95,Canada,6.90,Zambia
2009,72.30,0.66,35.50,Congo-K,6.10,Russia,6.00,China
