Year,Worldmineproduction,U.S.mineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,9035.50,1587.70,0.40,1588.00,Chile,1200.00,USSR,794.00,Canada
1991,9090.00,1630.00,0.41,1814.00,Chile,1100.00,USSR,810.00,Canada
1992,9490.00,1762.00,0.36,1932.70,Chile,768.00,Canada,699.00,Russia
1993,9420.00,1813.00,0.36,2055.00,Chile,731.00,Canada,584.00,Russia
1994,9490.00,1820.00,0.36,2220.00,Chile,617.00,Canada,573.00,Russia
1995,10100.00,1850.00,0.37,2489.00,Chile,726.00,Canada,525.00,Russia
1996,11000.00,1920.00,0.40,3116.00,Chile,688.40,Canada,547.00,Australia
1997,11400.00,1940.00,0.40,3392.00,Chile,656.80,Canada,558.00,Australia
1998,12100.00,1860.00,0.43,3687.00,Chile,781.00,Indonesia,706.00,Canada
1999,12800.00,1600.00,0.46,4391.00,Chile,766.00,Indonesia,739.00,Australia
2000,13300.00,1440.00,0.48,4602.00,Chile,1012.00,Indonesia,829.00,Australia
2001,13700.00,1340.00,0.49,4739.00,Chile,1081.00,Indonesia,871.00,Australia
2002,13600.00,1140.00,0.49,4581.00,Chile,1171.73,Indonesia,867.80,Australia
2003,13800.00,1120.00,0.49,4904.20,Chile,1005.83,Indonesia,862.58,Peru
2004,14700.00,1160.00,0.50,5412.50,Chile,1035.57,Peru,854.10,Australia
2005,15000.00,1140.00,0.49,5320.50,Chile,1065.00,Indonesia,1009.90,Peru
2006,15100.00,1200.00,0.48,5360.80,Chile,1048.47,Peru,873.00,China
2007,15400.00,1170.00,0.49,5557.00,Chile,1018.16,Peru,928.00,China
2008,15400.00,1310.00,0.49,5327.60,Chile,1107.79,Peru,1070.00,China
2009,15900.00,1180.00,0.47,5394.00,Chile,1113.45,Peru,1040.00,China
2010,16000.00,1110.00,0.48,5419.00,Chile,1160.00,China,1094.16,Peru
