Year,Worldrefinedelectrowonproduction,U.S.refinedelectrowonproduction,Concentrationratio,1stRefinedelectrowonproduction,1stCountry,2ndRefinedelectrowonproduction,2ndCountry,3rdRefinedelectrowonproduction,3rdCountry
1990,472.60,393.00,0.17,52.70,Zambia,26.90,Mexico,--,NA
1991,518.50,441.00,0.15,45.40,Zambia,32.10,Mexico,--,NA
1992,573.60,502.00,0.12,43.70,Zambia,27.90,Mexico,--,NA
1993,586.93,491.00,0.16,48.85,Zambia,24.08,Mexico,20.30,Peru
1994,806.60,493.00,0.36,201.00,Chile,67.30,Zambia,25.80,Mexico
1995,1048.61,539.00,0.45,372.50,Chile,62.00,Zambia,38.92,Mexico
1996,1410.00,574.00,0.55,635.70,Chile,88.20,Peru,58.00,Zambia
1997,1700.70,586.00,0.61,881.00,Chile,99.70,Peru,63.70,Zambia
1998,2050.00,609.00,0.63,1108.00,Chile,101.84,Peru,80.71,Zambia
1999,2310.00,586.00,0.67,1362.10,Chile,114.43,Peru,60.20,Zambia
2000,2330.00,566.00,0.67,1372.60,Chile,127.31,Peru,55.60,Mexico
2001,2600.00,628.00,0.67,1538.20,Chile,131.14,Peru,79.00,Zambia
2002,2670.00,601.00,0.69,1602.00,Chile,156.47,Peru,96.00,Australia
2003,2720.00,591.00,0.71,1653.10,Chile,171.20,Peru,109.00,Zambia
2004,2710.00,584.00,0.71,1636.30,Chile,167.00,Peru,124.00,Zambia
2005,2690.00,554.00,0.71,1584.60,Chile,155.00,Peru,165.53,Zambia
2006,2830.00,530.00,0.72,1692.00,Chile,178.00,Zambia,173.87,Peru
2007,2980.00,504.00,0.74,1832.00,Chile,200.00,Zambia,172.12,Peru
2008,3080.00,507.00,0.75,1971.00,Chile,175.00,Zambia,160.08,Peru
2009,3250.00,476.00,0.75,2118.00,Chile,145.00,Zambia,162.80,Peru
2010,3300.00,500.00,0.73,2089.00,Chile,160.00,Zambia,153.02,Peru
