Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,5990.00,0.40,1610.00,Italy,420.00,France,338.00,W.Germany
1991,5670.00,0.40,1300.00,Italy,703.00,Thailand,250.00,USSR
1992,5990.00,0.40,1387.97,Italy,559.81,Thailand,464.74,Turkey
1993,6170.00,0.41,1534.21,Italy,600.84,Thailand,366.00,Turkey
1994,6490.00,0.44,1806.94,Italy,554.23,Thailand,502.61,Turkey
1995,7910.00,0.46,2199.00,Italy,760.25,Turkey,670.18,Thailand
1996,8290.00,0.47,2310.00,Italy,910.81,Turkey,684.98,Thailand
1997,8650.00,0.45,2300.00,Italy,1011.54,Turkey,611.79,Thailand
1998,9330.00,0.49,2748.00,Italy,1089.48,Turkey,706.00,France
1999,9980.00,0.47,2700.00,Italy,1369.66,Turkey,638.00,France
2000,9540.00,0.45,2500.00,Italy,1147.72,Turkey,642.00,France
2001,11800.00,0.38,2600.00,Italy,1200.00,Turkey,650.00,France
2002,14100.00,0.46,3159.00,Italy,1766.39,Turkey,1600.00,China
2003,13600.00,0.43,2343.72,Italy,1862.31,Turkey,1700.00,China
2004,15100.00,0.47,3251.26,Italy,1983.34,Turkey,1800.00,China
2005,16800.00,0.49,3995.23,Italy,2331.97,Turkey,1850.00,China
2006,20600.00,0.57,4019.50,Italy,5771.89,Turkey,1950.00,China
2007,21500.00,0.59,4200.00,Italy,6548.80,Turkey,2000.00,China
2008,22700.00,0.59,4727.00,Italy,6767.50,Turkey,2000.00,China
2009,19600.00,0.56,4700.00,Italy,4212.55,Turkey,2000.00,China
2010,20600.00,0.57,4700.00,Italy,5000.00,Turkey,2000.00,China
