Year,Worldmineproduction,U.S.mineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,3341.00,281.90,0.69,1469.40,USSR,585.00,China,258.38,Norway
19911,--,--,--,--,NA,--,NA,--,NA
1992,2645.50,224.90,0.45,542.10,China,325.00,Kazakhstan,325.00,Russia
1993,2606.50,210.00,0.46,672.75,China,271.70,Kazakhstan,260.00,Russia
1994,2476.50,233.40,0.50,715.00,China,294.40,Norway,227.50,Russia
1995,2606.50,232.70,0.55,786.50,China,308.67,Norway,350.00,Russia
1996,2782.00,235.30,0.56,968.50,China,300.58,Norway,299.00,Russia
1997,2671.50,233.40,0.54,812.50,China,331.50,Russia,305.50,Norway
1998,2535.00,217.10,0.58,838.50,China,322.40,Russia,305.50,Norway
1999,2535.00,211.30,0.56,728.00,China,390.65,Russia,299.00,Norway
2000,2762.50,162.50,0.59,910.00,China,423.80,Russia,299.00,Norway
2001,2626.00,124.00,0.61,858.00,China,459.62,Russia,292.50,Norway
2002,2736.50,118.30,0.62,975.00,China,455.65,Russia,253.50,Norway
2003,3217.50,96.20,0.65,1430.00,China,494.00,Russia,162.50,Norway
2004,3649.00,110.90,0.72,1950.00,China,468.65,Russia,195.00,Norway
2005,3776.50,106.50,0.73,2145.00,China,482.30,Russia,148.20,Ukraine
2006,4167.82,126.20,0.79,2613.00,China,573.50,Russia,109.85,Ukraine
2007,4748.50,143.10,0.80,3061.50,China,582.47,Russia,141.70,Ukraine
2008,4827.25,162.90,0.81,3185.00,China,552.50,Russia,162.87,Norway
2009,4754.60,134.80,0.83,3315.00,China,484.25,Russia,134.77,Norway
2010,5008.59,159.90,0.83,3445.00,China,595.40,Russia,127.08,Ukraine
