Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,5120.00,0.58,1700.00,China,634.00,Mexico,614.00,Mongolia
1991,4300.00,0.59,1700.00,China,475.00,Mongolia,370.00,Mexico
1992,4120.00,0.62,1900.00,China,384.00,Mongolia,287.00,Mexico
1993,4180.00,0.66,2100.00,China,356.00,Mongolia,283.00,Mexico
1994,3750.00,0.64,2000.00,China,235.00,Mexico,174.26,S.Africa
1995,4040.00,0.69,2000.00,China,522.00,Mexico,250.00,Russia
1996,4180.00,0.70,2150.00,China,523.97,Mexico,250.00,Russia
1997,4180.00,0.74,2300.00,China,552.84,Mexico,250.00,Russia
1998,4430.00,0.72,2350.00,China,598.04,Mexico,237.00,S.Africa
1999,4300.00,0.74,2400.00,China,557.11,Mexico,217.28,S.Africa
2000,4450.00,0.74,2450.00,China,635.23,Mexico,212.36,S.Africa
2001,4590.00,0.73,2450.00,China,619.47,Mexico,286.00,S.Africa
2002,4450.00,0.74,2450.00,China,622.48,Mexico,227.00,S.Africa
2003,4850.00,0.96,3650.00,China,756.26,Mexico,235.00,S.Africa
2004,5220.00,0.75,2700.00,China,842.70,Mexico,354.90,Mongolia
2005,5360.00,0.75,2800.00,China,875.45,Mexico,367.50,Mongolia
2006,5660.00,0.77,3100.00,China,936.00,Mexico,347.70,Mongolia
2007,5730.00,0.78,3200.00,China,933.00,Mexico,354.90,Mongolia
2008,6000.00,0.77,3250.00,China,1057.65,Mexico,334.80,Mongolia
2009,5550.00,0.79,2900.00,China,1050.00,Mexico,459.50,Mongolia
2010,6010.00,0.80,3300.00,China,1070.00,Mexico,420.00,Mongolia
