Year,Worldrefinedproduction,Concentrationratio,1stRefinedproduction,1stCountry,2ndRefinedproduction,2ndCountry,3rdRefinedproduction,3rdCountry
1990,2.18,0.53,0.61,S.Africa,0.30,USSR,0.24,Australia
1991,2.19,0.50,0.60,S.Africa,0.26,USSR,0.23,Australia
1992,2.29,0.44,0.61,S.Africa,0.24,Australia,0.15,Canada
1993,2.28,0.45,0.62,S.Africa,0.25,Australia,0.15,Russia
1994,2.27,0.44,0.58,S.Africa,0.26,Australia,0.15,Canada
1995,2.23,0.41,0.52,S.Africa,0.25,Australia,0.15,Canada
1996,2.29,0.42,0.50,S.Africa,0.29,Australia,0.17,Canada
1997,2.45,0.40,0.49,S.Africa,0.31,Australia,0.18,China
1998,2.50,0.38,0.47,S.Africa,0.31,Australia,0.18,China
1999,2.57,0.36,0.45,S.Africa,0.30,Australia,0.17,China
2000,2.57,0.35,0.43,S.Africa,0.30,Australia,0.18,China
2001,2.56,0.34,0.39,S.Africa,0.29,Australia,0.19,China
2002,2.53,0.34,0.40,S.Africa,0.27,Australia,0.19,China
2003,2.54,0.34,0.37,S.Africa,0.28,Australia,0.21,China
2004,2.42,0.34,0.34,S.Africa,0.26,Australia,0.22,China
2005,2.47,0.32,0.29,S.Africa,0.26,Australia,0.23,China
2006,2.37,0.32,0.27,S.Africa,0.25,Australia,0.25,China
2007,2.36,0.33,0.28,China,0.25,S.Africa,0.25,Australia
2008,2.29,0.31,0.29,China,0.22,Australia,0.21,S.Africa
2009,2.00,0.37,0.32,China,0.22,Australia,0.20,S.Africa
2010,2.56,0.31,0.35,China,0.26,Australia,0.19,S.Africa
