Table 85. Count of import rankings for processed minerals (2007).,,,,
,First,Second,Third,Total
Australia,,1,2,3
Austria,,1,,1
Belgium,2,1,2,5
Bolivia,1,1,1,3
Brazil,2,,,2
Canada,6,7,6,19
Chile,2,2,1,5
China,10,3,4,17
Colombia,1,,,1
Czech Republic,,1,,1
Germany,3,4,4,11
Israel,,1,,1
Japan,1,2,2,5
Kazakhstan,1,1,1,3
Mexico,2,3,1,6
Netherlands,,1,1,2
Norway,1,,,1
Peru,1,,3,4
Phillipines,,1,,1
Portugal,,1,1,2
Russia,1,3,3,7
South Africa,3,5,1,9
South Korea,1,,2,3
Turkey,1,,1,2
United Kingdom,2,1,3,6
Ukraine,,,1,1
Venezuela,,1,,1
