Year,Worldrefinedproduction,Concentrationratio,1stRefinedproduction,1stCountry,2ndRefinedproduction,2ndCountry,3rdRefinedproduction,3rdCountry
1990,0.118,--,--,--,--,--,--,--
1991,0.140,--,--,--,--,--,--,--
1992,0.140,--,--,--,--,--,--,--
1993,0.140,--,--,--,--,--,--,--
1994,0.145,--,--,--,--,--,--,--
1995,0.239,--,--,--,--,--,--,--
1996,0.200,--,--,--,--,--,--,--
1997,0.230,--,--,--,--,--,--,--
1998,0.230,--,--,--,--,--,--,--
1999,0.245,0.51,0.043,France,0.042,Canada,0.040,China
2000,0.450,0.71,0.200,China,0.065,France,0.055,Japan
2001,0.439,0.71,0.190,China,0.065,France,0.055,Japan
2002,0.406,0.65,0.160,China,0.060,Japan,0.045,Canada
2003,0.371,0.81,0.180,China,0.070,Japan,0.050,Canada
2004,0.392,0.82,0.200,China,0.070,Japan,0.050,Canada
2005,0.607,0.81,0.370,China,0.070,Japan,0.050,S.Korea
2006,0.636,0.81,0.400,China,0.060,S.Korea,0.055,Japan
2007,0.620,0.82,0.380,China,0.070,S.Korea,0.060,Japan
2008,0.601,0.80,0.340,China,0.075,S.Korea,0.065,Japan
2009,0.546,0.87,0.340,China,0.070,S.Korea,0.067,Japan
2010,0.609,0.77,0.330,China,0.070,S.Korea,0.069,Japan
