Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,16.00,0.84,7.58,Japan,3.98,Chile,1.90,USSR
1991,17.30,0.85,7.49,Japan,5.45,Chile,1.80,USSR
1992,16.50,0.80,6.76,Japan,5.84,Chile,0.60,"Azerbaijan,Turkmenistan"
1993,16.10,0.80,6.49,Japan,5.96,Chile,0.50,China
1994,14.30,0.82,5.64,Chile,5.59,Japan,0.50,China
1995,13.40,0.85,5.49,Japan,5.44,Chile,0.50,China
1996,14.10,0.86,6.18,Japan,5.51,Chile,0.50,China
1997,15.70,0.87,7.15,Chile,6.04,Japan,0.50,China
1998,18.60,0.88,9.72,Chile,6.14,Japan,0.50,China
1999,18.40,0.87,9.32,Chile,6.15,Japan,0.50,China
2000,19.50,0.88,10.47,Chile,6.16,Japan,0.50,China
2001,20.70,0.89,11.36,Chile,6.64,Japan,0.50,China
2002,21.00,0.89,11.65,Chile,6.55,Japan,0.50,China
2003,24.60,0.92,15.58,Chile,6.52,Japan,0.50,China
2004,24.80,0.92,14.93,Chile,7.26,Japan,0.55,China
2005,26.50,0.91,15.35,Chile,8.10,Japan,0.55,China
2006,26.70,0.97,16.49,Chile,8.72,Japan,0.56,China
2007,26.30,0.96,15.47,Chile,9.28,Japan,0.57,China
2008,26.50,0.96,15.50,Chile,9.50,Japan,0.57,China
2009,28.50,0.97,17.40,Chile,9.60,Japan,0.58,China
2010,28.70,0.97,17.50,Chile,9.70,Japan,0.59,China
