Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,540000.00,0.56,132000.00,USSR,99900.00,Brazil,69800.00,Australia
1991,518000.00,0.54,110000.00,USSR,99900.00,Brazil,69700.00,Australia
1992,498000.00,0.45,96100.00,Brazil,69800.00,Australia,59300.00,China
1993,510000.00,0.49,105000.00,Brazil,74800.00,Australia,70400.00,China
1994,514935.00,0.50,103237.00,Brazil,80900.00,Australia,72050.00,China
1995,544363.00,0.51,112793.00,Brazil,88653.00,Australia,75000.00,China
1996,543358.00,0.52,112000.00,Brazil,93000.00,Australia,75000.00,China
1997,572163.00,0.53,122184.00,Brazil,97901.00,Australia,80400.00,China
1998,573308.19,0.53,124210.00,Brazil,99418.89,Australia,81200.00,China
1999,555075.11,0.54,124000.00,Brazil,95223.00,Australia,78200.00,China
2000,604306.00,0.53,141106.00,Brazil,104226.00,Australia,73500.00,China
2001,583019.00,0.55,133713.00,Brazil,112592.00,Australia,72600.00,China
2002,617000.00,0.54,142468.00,Brazil,116341.00,Australia,76200.00,China
2003,675000.00,0.55,153190.00,Brazil,132257.00,Australia,86000.00,China
2004,750000.00,0.57,173752.00,Brazil,145282.00,Australia,105000.00,China
2005,843000.00,0.58,186891.00,Brazil,163000.00,Australia,138000.00,China
2006,969000.00,0.57,198000.00,China,186891.00,Brazil,171000.00,Australia
2007,1070000.00,0.61,235504.00,Brazil,233000.00,China,186000.00,Australia
2008,1130000.00,0.63,270000.00,China,233514.00,Brazil,208000.00,Australia
2009,1110000.00,0.64,280000.00,China,228000.00,Australia,206100.00,Brazil
2010,--,--,--,China,271000.00,Australia,206100.00,Brazil
