Year,Worldmineproduction,U.S.mineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,3370.00,497.00,0.39,570.00,Australia,420.00,USSR,315.00,China
1991,3260.00,477.00,0.40,579.00,Australia,380.00,USSR,352.00,China
1992,3200.00,407.00,0.39,577.00,Australia,344.00,Canada,330.00,Peru
1993,2900.00,362.00,0.37,519.00,Australia,338.00,China,217.00,Peru
1994,2800.00,370.00,0.44,537.00,Australia,462.00,China,233.50,Peru
1995,2710.00,394.00,0.45,520.00,China,455.00,Australia,237.60,Peru
1996,2920.00,436.00,0.48,643.00,China,522.00,Australia,248.80,Peru
1997,3100.00,459.00,0.48,712.00,China,531.00,Australia,258.20,Peru
1998,3060.00,493.00,0.48,618.00,Australia,580.00,China,257.71,Peru
1999,3080.00,520.00,0.49,681.00,Australia,549.00,China,271.78,Peru
2000,3200.00,465.00,0.52,739.00,Australia,660.00,China,270.58,Peru
2001,3120.00,466.00,0.54,714.00,Australia,676.00,China,289.55,Peru
2002,2850.00,451.00,0.58,694.00,Australia,641.00,China,305.65,Peru
2003,3200.00,460.00,0.61,955.00,China,688.00,Australia,308.87,Peru
2004,3150.00,445.00,0.63,998.00,China,674.00,Australia,306.21,Peru
2005,3470.00,437.00,0.64,1140.00,China,767.00,Australia,319.35,Peru
2006,3630.00,429.00,0.64,1330.00,China,686.00,Australia,313.33,Peru
2007,3720.00,444.00,0.64,1410.00,China,641.00,Australia,329.15,Peru
2008,3880.00,410.00,0.64,1500.00,China,645.00,Australia,345.11,Peru
2009,3900.00,406.00,0.63,1600.00,China,566.00,Australia,302.46,Peru
2010,4140.00,369.00,0.66,1850.00,China,625.00,Australia,261.90,Peru
