Year,Worldrefinedprimaryproduction,U.S.refinedprimaryproduction,Concentrationratio,1stRefinedprimaryproduction,1stCountry,2ndRefinedprimaryproduction,2ndCountry,3rdRefinedprimaryproduction,3rdCountry
1990,3090.00,404.00,0.29,420.00,USSR,266.00,China,212.00,Australia
1991,3080.00,346.00,0.29,380.00,USSR,290.00,China,220.00,Australia
1992,2950.00,305.00,0.26,325.00,China,219.00,Japan,215.00,Australia
1993,3050.00,335.00,0.26,372.00,China,221.00,Australia,212.00,Japan
1994,3012.00,351.00,0.27,408.00,China,212.00,Australia,181.70,Japan
1995,2909.00,374.00,0.28,432.00,China,215.00,Australia,178.00,Canada
1996,2870.00,326.00,0.33,562.00,China,204.00,Australia,194.00,Canada
1997,3044.00,343.00,0.33,584.00,China,215.20,UK,204.00,Australia
1998,3105.00,337.00,0.33,665.00,China,186.21,UK,176.80,Germany
1999,3317.00,350.00,0.38,821.00,China,240.00,Australia,185.42,UK
2000,3590.00,341.00,0.40,998.00,China,223.37,Australia,210.52,Germany
2001,3403.00,290.00,0.43,984.00,China,270.00,Australia,203.00,UK
2002,3428.00,262.00,0.46,1100.00,China,268.00,Australia,207.72,UK
2003,3387.00,245.00,0.52,1290.00,China,270.00,Australia,195.00,UK
2004,3327.00,148.00,0.57,1500.00,China,232.00,Australia,173.61,S.Korea
2005,3713.00,143.00,0.61,1850.00,China,230.00,Australia,180.78,S.Korea
2006,3896.00,153.00,0.64,2130.00,China,206.00,Australia,163.70,UK
2007,3882.00,123.00,0.65,2140.00,China,202.00,Australia,195.02,S.Korea
2008,4176.00,135.00,0.67,2350.00,China,244.14,S.Korea,221.00,Australia
2009,4024.00,103.00,0.72,2480.00,China,222.46,S.Korea,204.00,Australia
2010,4402.00,115.00,0.73,2840.00,China,200.00,S.Korea,178.00,Australia
