Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,5.30,0.77,1.70,Chile,1.30,Australia,1.10,USSR
1991,5.40,0.80,1.70,Chile,1.60,Australia,1.00,USSR
1992,5.20,0.73,1.60,Chile,1.30,Australia,0.90,Russia
1993,5.60,0.73,2.00,Chile,1.30,Australia,0.80,Russia
1994,6.10,0.74,2.00,Chile,1.70,Australia,0.80,Russia
1995,6.30,0.71,2.00,Chile,1.70,Australia,0.80,Russia
1996,11.00,0.84,3.70,Australia,2.80,China,2.70,Chile
1997,14.00,0.70,4.10,Chile,2.90,China,2.80,Australia
1998,15.00,0.65,4.70,Chile,3.00,China,2.10,Australia
1999,14.00,0.70,5.30,Chile,2.30,China,2.20,Australia
2000,14.00,0.72,5.30,Chile,2.40,China,2.40,Australia
2001,15.10,0.74,6.80,Chile,2.40,China,2.00,Australia
2002,14.20,0.81,5.92,Chile,3.14,Australia,2.40,China
2003,15.10,0.83,6.58,Chile,3.45,Australia,2.50,China
2004,20.20,0.72,7.99,Chile,3.93,Australia,2.63,China
2005,20.60,0.72,8.27,Chile,3.77,Australia,2.82,China
2006,23.50,0.71,8.20,Chile,5.50,Australia,2.90,Argentina
2007,25.80,0.81,11.10,Chile,6.91,Australia,3.01,China
2008,25.40,0.79,10.60,Chile,6.28,Australia,3.29,China
2009,18.80,0.83,6.28,Australia,5.62,Chile,3.76,China
2010,28.10,0.84,10.51,Chile,9.26,Australia,3.95,China
