Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,"10,500.00",0.50,"2,170.00",China,"1,600.00",USSR,"1,500.00",N.Korea
1991,"9,790.00",0.47,"1,650.00",China,"1,600.00",N.Korea,"1,400.00",USSR
1992,"10,200.00",0.43,"1,600.00",N.Korea,"1,510.00",China,"1,267.00",Czechoslovakia2
1993,"8,280.00",0.49,"1,600.00",N.Korea,"1,230.00",China,"1,200.00",Slovakia
1994,"9,020.00",0.45,"1,600.00",N.Korea,"1,279.61",Turkey,"1,200.00",Slovakia
1995,"10,600.00",0.53,"2,050.00",China,"1,928.06",Turkey,"1,600.00",N.Korea
1996,"11,000.00",0.55,"2,339.14",Turkey,"2,100.00",China,"1,600.00",N.Korea
1997,"10,100.00",0.54,"2,400.00",China,"1,600.00",N.Korea,"1,409.77",Turkey
1998,"11,400.00",0.58,"2,703.34",Turkey,"2,400.00",China,"1,500.00",N.Korea
1999,"9,830.00",0.53,"2,450.00",China,"1,724.74",Turkey,"1,000.00",N.Korea
2000,"12,700.00",0.61,"4,070.00",China,"2,672.09",Turkey,"1,000.00",Russia
2001,"11,100.00",0.54,"3,580.00",China,"1,450.03",Turkey,"1,000.00",Russia
2002,"14,100.00",0.61,"4,560.00",China,"3,044.44",Turkey,"1,000.00",Russia
2003,"14,100.00",0.66,"4,900.00",China,"3,224.28",Turkey,"1,200.00",Russia
2004,"16,500.00",0.69,"6,500.00",China,"3,732.95",Turkey,"1,200.00",N.Korea
2005,"15,200.00",0.67,"6,600.00",China,"2,372.21",Turkey,"1,200.00",N.Korea
2006,"14,400.00",0.69,"6,700.00",China,"2,088.03",Turkey,"1,200.00",Russia
2007,"20,300.00",0.79,"14,000.00",China,"1,200.00",Russia,802.41,Turkey
2008,"21,500.00",0.81,"15,600.00",China,"1,200.00",Russia,677.78,Turkey
2009,"18,200.00",0.82,"13,000.00",China,"1,000.00",Russia,861.18,Turkey
2010,"19,900.00",0.81,"14,000.00",China,"1,200.00",Russia,"1,000.00",Turkey
