Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,9.08,0.43,1.91,S.Africa,1.12,Gabon,0.91,Australia
1991,7.60,0.42,1.37,S.Africa,1.03,China,0.78,Brazil
1992,7.26,0.55,1.85,Ukraine,1.08,S.Africa,1.06,China
1993,7.07,0.51,1.35,Ukraine,1.17,China,1.08,S.Africa
1994,6.53,0.49,1.21,S.Africa,1.05,Ukraine,0.94,Australia
1995,7.97,0.48,1.38,China,1.35,S.Africa,1.10,Ukraine
1996,8.17,0.48,1.52,China,1.38,S.Africa,1.04,Ukraine
1997,7.66,0.46,1.32,S.Africa,1.20,China,1.03,Ukraine
1998,7.33,0.49,1.30,S.Africa,1.26,Brazil,1.06,China
1999,6.39,0.49,1.34,S.Africa,0.93,Australia,0.88,Gabon
2000,6.96,0.48,1.58,S.Africa,0.93,Ukraine,0.80,Gabon
2001,7.57,0.45,1.48,S.Africa,0.99,Brazil,0.95,Australia
2002,7.77,0.46,1.50,S.Africa,1.10,Brazil,0.98,Australia
2003,8.79,0.47,1.59,S.Africa,1.29,Brazil,1.25,Australia
2004,9.91,0.49,1.91,S.Africa,1.57,Australia,1.35,Brazil
2005,11.01,0.46,2.10,S.Africa,1.50,Australia,1.50,China
2006,11.48,0.53,2.30,S.Africa,2.19,Australia,1.60,China
2007,12.11,0.59,2.60,S.Africa,2.54,Australia,2.00,China
2008,13.00,0.57,2.90,S.Africa,2.32,Australia,2.20,China
2009,10.80,0.60,2.40,China,2.14,Australia,1.90,S.Africa
2010,13.97,0.62,3.10,Australia,2.90,S.Africa,2.60,China
