"Table 40. Global production of mined silicomanganese, the three leading producing countries, and the concentration ratio of the top three producing countries (thousand metric tons).",,,,,,,,
Year,World mine production,Concentration ratio,1st Mine production,1st Country,2nd Mine production,2nd Country,3rd Mine production,3rd Country
1990," 	2,433.20 ", 	0.53 , 	858.00 ,USSR, 	244.20 ,China, 	177.54 ,S. Africa
1991," 	2,322.60 ", 	0.51 , 	726.00 ,USSR, 	273.90 ,China, 	179.52 ,Brazil
1992," 	2,417.40 ", 	0.50 , 	726.00 ,Ukraine, 	277.20 ,China, 	198.00 ,Brazil
1993," 	2,188.30 ", 	0.47 , 	485.10 ,Ukraine, 	346.50 ,China, 	187.44 ,Brazil
1994," 	1,881.00 ", 	0.54 , 	433.62 ,China, 	396.00 ,Ukraine, 	191.40 ,S. Africa
1995," 	1,980.00 ", 	0.56 , 	547.80 ,China, 	396.00 ,Ukraine, 	165.66 ,S. Africa
1996," 	2,098.80 ", 	0.53 , 	554.40 ,China, 	396.00 ,Ukraine, 	167.64 ,S. Africa
1997," 	2,090.88 ", 	0.51 , 	508.20 ,China, 	369.60 ,Ukraine, 	188.76 ,S. Africa
1998," 	1,907.40 ", 	0.48 , 	421.74 ,China, 	320.76 ,Ukraine, 	174.90 ,S. Africa
1999," 	1,953.60 ", 	0.54 , 	542.52 ,China, 	329.28 ,Ukraine, 	176.22 ,S. Africa
2000," 	2,345.00 ", 	0.53 , 	594.00 ,China, 	451.47 ,Ukraine, 	204.60 ,S. Africa
2001," 	2,498.06 ", 	0.56 , 	772.20 ,China, 	463.58 ,Ukraine, 	166.98 ,S. Africa
2002," 	2,879.21 ", 	0.60 ," 	1,042.80 ",China, 	483.51 ,Ukraine, 	208.43 ,S. Africa
2003," 	3,064.32 ", 	0.61 ," 	1,188.00 ",China, 	488.40 ,Ukraine, 	178.20 ,S. Africa
2004," 	3,977.39 ", 	0.66 ," 	1,716.00 ",China, 	699.60 ,Ukraine, 	220.44 ,S. Africa
2005," 	4,290.94 ", 	0.71 ," 	1,980.00 ",China, 	686.40 ,Ukraine, 	393.61 ,India
2006," 	4,932.21 ", 	0.74 ," 	2,376.00 ",China, 	770.88 ,Ukraine, 	516.75 ,India
2007," 	5,603.06 ", 	0.77 ," 	2,864.40 ",China, 	845.46 ,Ukraine, 	601.53 ,India
2008," 	5,689.55 ", 	0.79 ," 	3,300.00 ",China, 	590.63 ,Ukraine, 	588.36 ,India
2009," 	5,671.28 ", 	0.85 ," 	3,583.80 ",China, 	725.89 ,India, 	489.65 ,Ukraine
2010," 	6,246.66 ", 	0.81 ," 	3,762.00 ",China, 	660.00 ,India, 	620.66 ,Ukraine
