Year,Worldmineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,4.10,0.62,1.00,China,0.80,USSR,0.74,Mexico
1991,2.54,0.76,0.76,China,0.75,USSR,0.43,Algeria
1992,1.96,0.72,0.58,China,0.48,Algeria,0.35,Kyrgyzstan
1993,2.39,0.56,0.52,China,0.46,Algeria,0.35,Kyrgyzstan
1994,1.96,0.64,0.47,China,0.41,Algeria,0.38,Kyrgyzstan
1995,3.19,0.83,1.50,Spain,0.78,China,0.38,Kyrgyzstan
1996,2.56,0.76,0.86,Spain,0.58,Kyrgyzstan,0.51,China
1997,2.41,0.76,0.83,China,0.55,Kyrgyzstan,0.45,Algeria
1998,1.58,0.73,0.68,Spain,0.25,Kyrgyzstan,0.23,China
1999,1.32,0.73,0.43,Spain,0.30,Kyrgyzstan,0.24,Algeria
2000,1.36,0.72,0.50,Spain,0.26,Kyrgyzstan,0.22,Algeria
2001,1.50,0.75,0.50,Spain,0.32,Algeria,0.30,Kyrgyzstan
2002,1.98,0.78,0.73,Spain,0.50,China,0.31,Algeria
2003,1.73,0.82,0.61,China,0.50,Spain,0.30,Kyrgyzstan
2004,1.90,0.89,1.14,China,0.30,Kyrgyzstan,0.25,Spain
2005,1.52,0.92,1.10,China,0.20,Kyrgyzstan,0.10,Peru
2006,1.15,0.92,0.76,China,0.25,Kyrgyzstan,0.05,Russia
2007,1.20,0.92,0.80,China,0.25,Kyrgyzstan,0.05,Russia
2008,1.82,0.93,1.30,China,0.25,Kyrgyzstan,0.14,Peru
2009,1.96,0.89,1.40,China,0.25,Kyrgyzstan,0.09,Peru
2010,2.25,0.90,1.60,China,0.25,Kyrgyzstan,0.18,Chile
