Year,Worldmineproduction,U.S.mineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,217,109.00,0.31,45,USSR,16.00,Canada,6.68,India
1991,211,103.00,0.31,40,USSR,17.00,Canada,8.60,Taiwain
1992,205,85.30,0.31,35,Russia,17.50,Canada,11.04,Taiwain
1993,301,87.90,0.52,129,Russia,17.50,Canada,9.75,Taiwain
1994,313,109.00,0.50,100,Russia,37.47,Korea,17.50,Canada
1995,328,108.00,0.49,100,Russia,43.71,Korea,17.50,Canada
1996,297,94.70,0.52,100,Russia,35.92,Korea,17.50,Canada
1997,309,112.00,0.49,100,Russia,34.49,Korea,17.50,Canada
1998,289,87.00,0.54,100,Russia,38.46,Korea,17.50,Canada
1999,278,95.40,0.51,100,Russia,24.73,Korea,17.50,Canada
2000,328,101.00,0.56,100,Russia,65.25,Korea,17.50,Canada
2001,368,97.80,0.62,109,Korea,100.00,Russia,17.50,Canada
2002,278,81.10,0.53,100,Russia,29.87,Korea,17.50,Canada
2003,362,78.60,0.57,100,Russia,74.49,Finland,33.65,Korea
2004,400,99.20,0.57,100,Russia,68.80,Finland,59.24,Korea
2005,359,78.10,0.57,100,Russia,68.85,Finland,36.62,Korea
2006,1090,110.00,0.80,700,China,100.00,Russia,71.07,Finland
2007,1120,96.60,0.80,720,China,100.00,Russia,71.45,Finland
2008,1140,85.30,0.81,750,China,100.00,Russia,70.71,Finland
2009,1020,--,0.85,700,China,100.00,Russia,70.00,Finland
