Year,Worldmineproduction,U.S.mineproduction,Concentrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,127.00,61.6,0.36,17.00,USSR,15.70,China,13.60,Chile
1991,115.00,53.4,0.38,16.00,USSR,14.43,Chile,13.20,China
1992,114.00,49.7,0.39,19.20,China,14.50,Chile,10.80,Russia
1993,99.20,36.8,0.44,18.30,China,14.90,Chile,10.30,Russia
1994,108.00,46.8,0.44,21.40,China,15.95,Chile,10.25,Canada
1995,136.00,60.9,0.44,33.00,China,17.89,Chile,9.11,Canada
1996,127.00,56,0.44,29.60,China,17.42,Chile,8.88,Canada
1997,139.00,60.1,0.45,33.30,China,21.34,Chile,8.22,Canada
1998,136.00,53.34,0.47,30.00,China,25.30,Chile,8.47,Canada
1999,129.00,42.4,0.50,29.70,China,27.31,Chile,7.96,Mexico
2000,135.00,40.9,0.52,33.64,Chile,28.80,China,7.46,Canada
2001,133.00,37.6,0.54,33.49,Chile,28.20,China,9.50,Peru
2002,122.00,32.3,0.55,29.47,Chile,29.30,China,8.61,Peru
2003,131.00,33.5,0.56,33.37,Chile,31.00,China,9.56,Peru
2004,159.00,41.5,0.60,41.88,Chile,38.50,China,14.25,Peru
2005,186.00,58,0.57,48.04,Chile,40.00,China,17.33,Peru
2006,186.00,59.8,0.56,43.90,China,43.28,Chile,17.21,Peru
2007,212.00,57,0.61,66.70,China,44.91,Chile,16.74,Peru
2008,218.00,55.9,0.60,81.00,China,33.69,Chile,16.72,Peru
2009,221.00,47.8,0.64,93.50,China,34.93,Chile,12.30,Peru
