Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,24.90,0.76,11.00,Australia,4.50,India,3.32,Malaysia
1991,16.60,0.78,7.00,Australia,4.00,India,1.98,Malaysia
1992,14.70,0.80,6.00,Australia,4.00,India,1.80,China
1993,12.10,0.78,3.00,Australia,4.60,India,1.80,China
1994,6.81,0.94,4.60,India,1.40,Brazil,0.43,Malaysia
1995,7.62,0.95,5.00,India,1.40,Brazil,0.82,Malaysia
1996,5.82,1.00,5.00,India,0.62,Malaysia,0.20,SriLanka
1997,6.28,0.95,5.00,India,0.77,Malaysia,0.20,Brazil/SriLanka1
1998,5.92,0.97,5.00,India,0.52,Malaysia,0.20,Brazil/SriLanka1
1999,6.55,0.97,5.00,India,1.15,Malaysia,0.20,Brazil/SriLanka1
2000,6.02,1.00,5.00,India,0.82,Malaysia,0.20,Brazil
2001,5.64,1.00,5.00,India,0.64,Malaysia,--,NA
2002,5.44,1.00,5.00,India,0.44,Malaysia,--,NA
2003,5.80,1.00,5.00,India,0.80,Malaysia,--,NA
2004,7.41,1.00,5.00,India,1.68,Malaysia,0.73,Brazil
2005,6.28,1.00,5.00,India,0.96,Brazil,0.32,Malaysia
2006,6.85,1.00,5.00,India,0.96,Brazil,0.89,Malaysia
2007,6.86,1.00,5.00,India,1.17,Brazil,0.68,Malaysia
2008,6.90,1.00,5.00,India,1.20,Brazil,0.70,Malaysia
2009,6.80,1.00,5.00,India,1.20,Brazil,0.60,Malaysia
