Year,Worldunspecifiedproduction,Concentrationratio,1stUnspecifiedproduction,1stCountry,2ndUnspecifiedproduction,2ndCountry,3rdUnspecifiedproduction,3rdCountry
1990,178,1.00,135.00,Canada,43.00,Australia,--,NA
1991,151,1.20,131.50,Canada,49.40,Australia,--,NA
1992,192,1.00,135.20,Canada,57.00,Australia,--,NA
1993,178,1.00,123.14,Canada,55.00,Australia,--,NA
1994,172,1.00,105.14,Canada,67.00,Australia,--,NA
1995,144,1.00,125.31,Canada,18.61,Australia,--,NA
1996,143,1.00,130.14,Canada,12.64,Australia,--,NA
1997,146,1.00,131.64,Canada,14.76,Australia,--,NA
1998,162,1.00,146.76,Canada,15.26,Australia,--,NA
1999,134,1.00,124.23,Canada,10.20,Australia,--,NA
2000,148,1.00,134.23,Canada,13.50,Australia,--,NA
2001,152,1.00,140.59,Canada,11.20,Australia,--,NA
2002,154,1.00,144.48,Canada,9.50,Australia,--,NA
2003,136,1.00,124.42,Canada,11.80,Australia,--,NA
2004,177,0.91,151.52,Canada,10.20,Australia,--,NA
2005,159,0.94,139.68,Canada,9.70,Australia,--,NA
2006,168,0.94,146.90,Canada,11.40,Australia,--,NA
2007,179,0.94,153.65,Canada,14.20,Australia,--,NA
2008,203,0.92,167.73,Canada,19.40,Australia,--,NA
2009,138,0.91,116.91,Canada,8.00,Australia,--,NA
