Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,15300,0.99,12371,Brazil,2384,Canada,359,Zaire
1991,15700,0.99,12866,Brazil,2365,Canada,365,Zaire
1992,15300,0.99,12545,Brazil,2308,Canada,358,Zaire
1993,12400,0.99,9580,Brazil,2395,Canada,355,Congo
1994,15700,1.00,13240,Brazil,2317,Canada,81,Australia
1995,15600,1.00,13140,Brazil,2357,Canada,109,Australia
1996,16200,1.00,13745,Brazil,2331,Canada,112,Australia
1997,20500,1.00,18000,Brazil,2300,Canada,125,Australia
1998,26200,1.00,23600,Brazil,2370,Canada,140,Australia
1999,24600,0.99,21900,Brazil,2370,Canada,140,Australia
2000,24800,0.98,21800,Brazil,2291,Canada,200,Nigeria
2001,31100,0.99,27300,Brazil,3195,Canada,250,Nigeria
2002,33300,0.99,28873,Brazil,3345,Canada,695,Congo
2003,40400,1.00,37920,Brazil,2263,Canada,386,Congo
2004,27600,1.00,23779,Brazil,3599,Canada,87,Mozambique
2005,43100,1.00,39162,Brazil,3710,Canada,87,Rwanda
2006,52800,1.00,48129,Brazil,4157,Canada,387,Nigeria
2007,62000,1.00,57267,Brazil,4337,Canada,180,Nigeria
2008,63000,0.99,58000,Brazil,4383,Canada,194,Nigeria
2009,62900,0.99,58000,Brazil,4330,Canada,180,Nigeria
