Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,27.20,1.00,15.80,S.Africa,10.00,USSR,1.40,Canada
1991,26.10,1.00,16.00,S.Africa,9.50,USSR,0.59,Canada
1992,24.30,1.00,17.00,S.Africa,6.00,Russia,1.31,Canada
1993,24.40,1.00,19.00,S.Africa,4.00,Russia,1.44,Canada
1994,27.10,1.00,22.10,S.Africa,3.00,Russia,1.97,Canada
1995,34.20,1.00,29.80,S.Africa,3.60,Russia,0.80,Canada
1996,34.80,1.00,30.64,S.Africa,3.50,Russia,0.70,Canada
1997,39.20,1.00,25.07,S.Africa,13.50,Russia,0.65,Canada
1998,41.30,1.00,26.86,S.Africa,13.50,Russia,0.74,Canada
1999,51.20,1.00,37.01,S.Africa,13.40,Russia,0.72,Canada
2000,51.40,1.00,36.49,S.Africa,14.10,Russia,0.72,Canada
2001,52.30,1.00,37.01,S.Africa,14.50,Russia,0.72,Canada
2002,57.90,0.99,40.00,S.Africa,14.50,Russia,2.96,Canada
2003,64.40,0.99,46.86,S.Africa,15.00,Russia,1.73,Canada
2004,66.60,0.99,46.76,S.Africa,15.00,Russia,4.00,Canada
2005,77.70,0.99,56.41,S.Africa,15.50,Russia,5.00,Canada
2006,74.60,0.99,53.14,S.Africa,15.60,Russia,5.00,Canada
2007,79.60,0.98,59.45,S.Africa,14.50,Russia,4.00,Canada
2008,72.30,0.98,54.00,S.Africa,12.50,Russia,4.00,Canada
2009,70.80,0.99,55.46,S.Africa,11.90,Russia,2.60,Canada
