Year,Worldmineproduction,U.S.mineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,135,5.93,0.94,84.00,USSR,38.30,S.Africa,5.27,Canada
1991,133,5.2,0.95,82.00,USSR,38.00,S.Africa,6.44,Canada
1992,124,5.44,0.94,70.00,Russia,41.00,S.Africa,5.80,Canada
1993,113,6.78,0.92,50.00,Russia,48.00,S.Africa,6.00,Canada
1994,103,6.44,0.92,47.80,S.Africa,40.00,Russia,7.00,Canada
1995,153,5.26,0.95,85.00,Russia,51.00,S.Africa,9.32,Canada
1996,150,6.1,0.94,80.00,Russia,52.60,S.Africa,8.08,Canada
1997,144,8.43,0.93,70.00,Russia,55.68,S.Africa,7.55,Canada
1998,153,10.6,0.89,70.00,Russia,56.61,S.Africa,8.91,Canada
1999,151,9.8,0.89,67.00,Russia,58.16,S.Africa,8.94,Canada
2000,153,10.3,0.89,71.00,Russia,55.82,S.Africa,9.95,Canada
2001,187,12.1,0.90,96.00,Russia,62.60,S.Africa,8.97,Canada
2002,196,14.8,0.88,96.00,Russia,63.76,S.Africa,12.21,Canada
2003,207,14,0.87,97.00,Russia,70.95,S.Africa,12.81,Canada
2004,211,13.7,0.88,97.00,Russia,76.40,S.Africa,12.00,Canada
2005,216,13.3,0.88,97.40,Russia,82.96,S.Africa,10.42,Canada
2006,222,14.4,0.88,98.40,Russia,86.27,S.Africa,10.49,Canada
2007,223,12.8,0.87,96.80,Russia,83.64,S.Africa,14.10,Canada
2008,203,11.9,0.88,87.70,Russia,75.54,S.Africa,14.70,Canada
2009,194,12.7,0.86,83.20,Russia,75.12,S.Africa,8.10,Canada
