Year,Worldmineproduction,U.S.mineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,50500,14200,0.49,11200,USSR,6910,Morocco,6400,China
1991,46300,14500,0.27,9250,USSR,1880,Tunisia,1210,S.Africa
1992,42800,14100,0.39,6400,China,6180,Morocco,4000,Russia
1993,36800,10700,0.42,6350,China,5778,Morocco,3300,Russia
1994,39800,12180,0.41,7430,China,6274,Morocco,2800,Russia
1995,40700,12800,0.38,6399,Morocco,5790,China,3100,Russia
1996,42000,13300,0.38,6552,Morocco,6300,China,3200,Russia
1997,45500,13300,0.44,7848,Morocco,7530,China,4660,Russia
1998,46100,12900,0.42,7850,Morocco,7500,China,4200,Russia
1999,42600,11800,0.41,7500,Morocco,6000,China,4100,Russia
2000,41600,11200,0.41,7200,Morocco,5820,China,3900,Russia
2001,40000,9230,0.44,7400,Morocco,6300,China,4000,Russia
2002,42600,10700,0.43,7341,Morocco,6900,China,4000,Russia
2003,43000,10300,0.44,7550,China,7424,Morocco,4000,Russia
2004,44600,10400,0.45,8507,Morocco,7650,China,4000,Russia
2005,46900,10300,0.48,9195,China,9130,Morocco,4000,Russia
2006,46700,8680,0.52,11600,China,8700,Morocco,4000,Russia
2007,50800,8480,0.56,15100,China,8900,Morocco,4200,Russia
2008,51000,8590,0.53,15200,China,7850,Morocco,3800,Russia
2009,50000,7640,0.55,18000,China,6000,Morocco,3500,Russia
