Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,129,0.96,87.80,S.Africa,31.00,USSR,5.04,Canada
1991,128,0.97,88.90,S.Africa,30.00,USSR,4.69,Canada
1992,132,0.97,94.90,S.Africa,28.00,Russia,4.80,Canada
1993,137,0.98,109.00,S.Africa,20.00,Russia,5.00,Canada
1994,139,0.97,114.00,S.Africa,15.00,Russia,6.00,Canada
1995,139,0.97,102.00,S.Africa,27.00,Russia,5.95,Canada
1996,139,0.97,105.00,S.Africa,25.00,Russia,5.16,Canada
1997,155,0.97,115.86,S.Africa,30.00,Russia,4.81,Canada
1998,160,0.95,116.48,S.Africa,30.00,Russia,5.64,Canada
1999,164,0.97,121.30,S.Africa,32.00,Russia,5.66,Canada
2000,160,0.97,114.46,S.Africa,34.00,Russia,6.30,Canada
2001,172,0.96,130.31,S.Africa,27.00,Russia,7.73,Canada
2002,178,0.95,132.90,S.Africa,27.00,Russia,9.20,Canada
2003,195,0.94,148.35,S.Africa,28.00,Russia,6.99,Canada
2004,194,0.96,153.24,S.Africa,28.00,Russia,4.44,Zimbabwe
2005,211,0.94,163.71,S.Africa,29.00,Russia,6.08,Canada
2006,218,0.94,168.13,S.Africa,29.00,Russia,8.51,Canada
2007,209,0.94,160.94,S.Africa,27.00,Russia,8.00,Canada
2008,193,0.93,146.14,S.Africa,25.00,Russia,8.50,Canada
2009,184,0.94,140.82,S.Africa,24.50,Russia,7.23,Zimbabwe
