Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,27.50,0.76,9.00,USSR,6.99,Canada,4.96,Germany1
1991,26.10,0.76,8.56,USSR,7.41,Canada,3.86,Germany
1992,23.90,0.59,7.27,Canada,3.47,Russia,3.46,Germany
1993,20.40,0.60,6.84,Canada,2.86,Germany,2.63,Russia
1994,23.10,0.62,8.04,Canada,3.29,Germany,3.02,Belarus
1995,24.80,0.63,9.07,Canada,3.28,Germany,3.21,Belarus
1996,23.30,0.61,8.12,Canada,3.33,Germany,2.72,Belarus
1997,25.20,0.63,8.99,Canada,3.42,Germany,3.40,Russia
1998,26.00,0.63,9.20,Canada,3.58,Germany,3.50,Russia
1999,27.30,0.63,8.48,Canada,4.55,Belarus,4.20,Russia
2000,27.00,0.62,9.20,Canada,3.79,Belarus,3.70,Russia
2001,26.40,0.62,8.24,Canada,4.30,Russia,3.70,Belarus
2002,27.10,0.62,8.52,Canada,4.40,Russia,3.80,Belarus
2003,29.90,0.63,9.10,Canada,5.47,Russia,4.23,Belarus
2004,32.20,0.66,10.10,Canada,6.41,Russia,4.60,Belarus
2005,33.80,0.65,10.14,Canada,7.14,Russia,4.84,Belarus
2006,30.40,0.55,8.52,Canada,4.61,Belarus,3.72,Russia
2007,35.70,0.65,11.09,Canada,7.28,Russia,4.97,Belarus
2008,34.50,0.64,10.46,Canada,6.73,Russia,4.97,Belarus
2009,20.80,0.53,4.32,Canada,3.70,Russia,3.00,China
