Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,60.10,0.52,16.50,China,8.50,USSR,6.05,Australia
1991,49.90,0.57,16.10,China,8.50,USSR,3.85,Australia
1992,56.80,0.57,21.30,China,8.00,USSR,3.30,Australia
1993,27.50,0.31,4.50,FmrSovRep,2.50,India,1.65,Australia
1994,56.60,0.62,30.70,China,2.50,India,2.00,FmrSovRep
1995,75.70,0.70,48.00,China,2.70,India,2.00,FmrSovRep
1996,80.60,0.74,55.00,China,2.70,India,2.00,FmrSovRep
1997,68.30,0.84,53.00,China,2.70,India,2.00,FmrSovRep
1998,77.10,0.90,60.00,China,7.05,Kyrgyzstan,2.70,India
1999,81.60,0.97,70.00,China,6.12,Kyrgyzstan,2.70,India
2000,92.70,0.98,73.00,China,15.54,Kyrgyzstan,2.70,India
2001,89.50,1.00,80.60,China,5.80,Kyrgyzstan,2.70,India
2002,93.00,1.00,88.00,China,2.70,India,2.10,Kyrgyzstan
2003,97.10,1.00,92.00,China,2.70,India,2.00,Kyrgyzstan
2004,102.00,1.00,98.00,China,2.70,India,0.80,Malaysia
2005,122.00,1.00,119.00,China,2.70,India,0.53,Brazil
2006,137.00,0.99,133.00,China,2.70,India,0.53,Brazil
2007,124.00,0.99,120.00,China,2.70,India,0.65,Brazil
2008,128.00,1.00,125.00,China,2.70,India,0.55,Brazil
2009,132.00,1.00,129.00,China,2.70,India,0.55,Brazil
