Year,Worldmineproduction,U.S.mineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1996,21.20,14,0.29,2.60,Chile,2.00,Peru,1.50,Canada
1997,26.70,15.4,0.24,2.50,Chile,2.00,Peru,1.80,Kazakhstan
1998,34.20,6.9,0.58,15.30,Chile,2.40,Kazakhstan,2.30,Peru
1999,35.30,6.2,0.64,15.50,Chile,4.80,Peru,2.40,Kazakhstan
2000,36.00,7.2,0.62,15.20,Chile,4.80,Peru,2.40,Kazakhstan
2001,32.70,5,0.72,16.00,Chile,5.00,Peru,2.50,Kazakhstan
2002,31.60,3.4,0.74,15.70,Chile,5.00,Peru,2.60,Kazakhstan
2003,38.30,6.3,0.70,19.30,Chile,5.00,Peru,2.60,Kazakhstan
2004,42.90,6.5,0.73,21.30,Chile,5.00,Peru,5.00,Kazakhstan
2005,47.30,7.9,0.73,21.50,Chile,8.00,Kazakhstan,5.00,Peru
2006,46.70,8.1,0.70,19.80,Chile,8.00,Kazakhstan,5.00,Peru
2007,47.50,7.1,0.70,22.90,Chile,5.50,Kazakhstan,5.00,Peru
2008,54.90,7.9,0.69,27.60,Chile,5.50,Kazakhstan,5.00,Peru
2009,45.40,5.6,0.73,25.00,Chile,5.00,Peru,3.00,Kazakhstan
