Year,Worldmineproduction,U.S.mineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,16.60,2.12,0.41,2.50,USSR,2.42,Mexico,1.93,Peru
1991,15.60,1.86,0.41,2.30,Mexico,2.20,USSR,1.93,Peru
1992,14.90,1.80,0.33,2.10,Mexico,1.61,Peru,1.22,Australia/Canada1
1993,14.10,1.60,0.35,2.14,Mexico,1.67,Peru,1.09,Australia
1994,14.00,1.49,0.36,2.22,Mexico,1.77,Peru,1.06,Poland
1995,14.90,1.56,0.37,2.32,Mexico,1.93,Peru,1.29,Canada
1996,15.10,1.57,0.38,2.53,Mexico,1.97,Peru,1.31,Canada
1997,16.50,2.18,0.37,2.68,Mexico,2.09,Peru,1.30,China
1998,17.20,2.06,0.37,2.89,Mexico,2.03,Peru,1.47,Australia
1999,17.10,1.95,0.38,2.47,Mexico,2.23,Peru,1.72,Australia
2000,18.10,1.98,0.39,2.62,Mexico,2.44,Peru,2.06,Australia
2001,18.70,1.74,0.39,2.76,Mexico,2.57,Peru,1.97,Australia
2002,18.80,1.35,0.41,2.87,Peru,2.73,Mexico,2.20,China
2003,18.80,1.24,0.42,2.92,Peru,2.57,Mexico,2.40,China
2004,20.00,1.25,0.40,3.06,Peru,2.57,Mexico,2.45,China
2005,20.80,1.23,0.40,3.21,Peru,2.59,Mexico,2.50,China
2006,20.10,1.16,0.45,3.47,Peru,2.97,Mexico,2.60,China
2007,20.80,1.28,0.45,3.49,Peru,3.14,Mexico,2.70,China
2008,21.40,1.25,0.45,3.69,Peru,3.24,Mexico,2.80,China
2009,22.00,1.25,0.47,3.85,Peru,3.55,Mexico,2.90,China
