Year,Worldmineproduction,U.S.mineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,57.80,11.60,0.37,9.03,USSR,6.79,Canada,5.37,China
1991,54.60,10.80,0.39,8.10,USSR,7.13,Canada,5.91,China
1992,50.70,10.70,0.33,7.49,Canada,5.90,China,3.50,Russia
1993,51.60,11.10,0.36,8.43,Canada,6.36,China,3.72,Russia
1994,53.40,11.50,0.36,8.85,Canada,7.02,China,3.62,Russia
1995,54.00,11.80,0.37,8.95,Canada,7.03,China,3.84,Russia
1996,55.20,11.80,0.37,9.49,Canada,7.26,China,3.80,Russia
1997,56.90,12.00,0.37,9.48,Canada,7.67,China,3.75,Russia
1998,57.40,11.70,0.36,9.69,Canada,6.17,China,4.65,Russia
1999,58.50,11.50,0.36,9.82,Canada,5.77,China,5.27,Russia
2000,59.30,10.50,0.35,9.45,Canada,5.79,Russia,5.56,China
2001,61.40,9.47,0.34,9.44,Canada,6.13,Russia,5.51,China
2002,62.00,9.27,0.35,8.93,Canada,6.54,Russia,5.98,China
2003,64.10,9.60,0.35,9.03,Canada,6.72,Russia,6.50,China
2004,66.40,10.10,0.35,9.10,Canada,7.15,China,6.92,Russia
2005,68.20,9.50,0.35,8.97,Canada,7.71,China,6.95,Russia
2006,67.50,9.06,0.34,9.08,Canada,7.06,China,6.95,Russia
2007,68.20,9.10,0.36,8.79,Canada,8.46,China,7.05,Russia
2008,68.70,9.30,0.35,8.61,China,8.16,Canada,7.17,Russia
2009,67.50,8.94,0.35,9.37,China,7.47,Canada,7.07,Russia
