Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,67.40,1.00,49.70,Japan,9.86,Canada,7.84,Peru
1991,82.91,1.00,57.18,Japan,13.36,Peru,12.37,Canada
1992,97.59,1.00,57.18,Japan,21.78,Canada,18.63,Peru
1993,88.17,1.00,46.77,Japan,24.00,Canada,17.40,Peru
1994,117.26,1.00,47.26,Japan,42.00,Canada,28.00,Peru
1995,175.22,1.00,102.00,Canada,43.13,Japan,30.09,Peru
1996,122.03,1.00,59.00,Canada,37.95,Japan,25.09,Peru
1997,109.10,1.00,59.00,Canada,25.26,Japan,24.75,Peru
1998,122.66,1.00,62.00,Canada,38.98,Japan,21.68,Peru
1999,116.38,1.00,64.00,Canada,35.27,Japan,17.11,Peru
2000,110.71,1.00,53.00,Canada,35.69,Japan,22.02,Peru
2001,109.11,1.00,51.00,Canada,39.01,Japan,19.11,Peru
2002,89.26,1.00,39.00,Canada,28.66,Japan,21.60,Peru
2003,95.15,1.00,40.00,Canada,33.15,Japan,22.00,Peru
2004,110.00,1.00,55.00,Canada,33.00,Japan,22.00,Peru
2005,111.88,0.90,34.00,Japan,34.00,Russia,32.88,Peru
2006,116.00,0.91,37.00,Peru,35.00,Japan,34.00,Russia
2007,124.00,0.89,41.00,Japan,35.00,Peru,34.00,Russia
2008,127.50,0.85,46.50,Japan,34.00,Russia,28.00,Peru
2009,129.20,0.88,49.20,Japan,34.00,Russia,30.00,Peru
