Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,51.90,0.82,32.00,China,8.80,USSR,1.54,Peru
1991,48.20,0.85,31.80,China,8.00,USSR,1.31,Austria
1992,42.90,0.85,25.00,China,10.00,Russia,1.49,Austria
1993,34.30,0.89,21.60,China,8.00,Russia,1.00,N.Korea
1994,34.00,0.94,27.00,China,4.00,Russia,0.90,N.Korea
1995,38.50,0.88,27.40,China,5.40,Russia,0.90,N.Korea
1996,34.70,0.89,26.50,China,3.00,Russia,1.41,Austria
1997,33.20,0.89,25.00,China,3.00,Russia,1.40,Austria
1998,37.00,0.93,30.00,China,3.00,Russia,1.40,Austria
1999,37.70,0.96,31.10,China,3.50,Russia,1.61,Austria
2000,44.00,0.96,37.00,China,3.50,Russia,1.60,Austria
2001,50.80,0.96,42.10,China,5.10,Russia,1.43,Austria
2002,66.20,0.95,55.10,China,5.30,Russia,2.30,Canada
2003,47.20,0.92,36.20,China,3.64,Canada,3.60,Russia
2004,66.30,0.97,59.90,China,2.80,Russia,1.34,Austria
2005,59.50,0.93,51.20,China,2.80,Russia,1.28,Austria
2006,56.40,0.88,45.00,China,2.80,Russia,1.98,Canada
2007,54.10,0.86,41.00,China,3.30,Russia,2.31,Canada
2008,62.20,0.89,50.00,China,3.00,Russia,2.28,Canada
2009,61.30,0.90,51.00,China,2.50,Russia,1.96,Canada
