Value,2005,2006,2007,2008,2009
AluminaConsumption,5750,5240,6010,5490,3660
AluminaProduction,5220,5030,4240,4300,2370
AluminaExports,1210,1540,1160,1150,946
AluminaImports,1860,1860,2440,2530,1860
Alumina1st,Australia,Australia,Australia,Australia,Australia
Alumina2nd,Suriname,Suriname,Jamaica,Brazil,Suriname
Alumina3rd,Jamaica,Canada,Brazil,Jamaica,Brazil
AntimonyConsumption,0.20,0.15,0.23,0.16,0.17
AntimonyProduction,--,--,W,--,--
AntimonyExports,--,--,--,--,--
AntimonyImports,0.20,0.15,0.23,0.16,0.17
Antimony1st,China,Bolivia,Bolivia,Bolivia,Bolivia
Antimony2nd,HongKong,China,China,China,Italy
Antimony3rd,Peru,Belgium,Italy,Canada,China
BariteConsumption,2966,3047,2980,2506,906
BariteProduction,489,589,455,648,383
BariteExports,93,72,15,62,49
BariteImports,2570,2530,2540,1920,572
Barite1st,China,China,China,China,China
Barite2nd,India,India,India,India,India
Barite3rd,Morocco,Morocco,Germany,Mexico,Morocco
BauxiteConsumption,11766,11580,9825,10486,6961
BauxiteProduction,--,--,--,--,--
BauxiteExports,34,20,15,14,9
BauxiteImports,11800,11600,9840,10500,6970
Bauxite1st,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica
Bauxite2nd,Brazil,Guinea,Guinea,Guinea,Guinea
Bauxite3rd,Guinea,Brazil,Brazil,Brazil,Brazil
BerylliumConsumption,0.16,0.18,0.19,0.22,0.15
BerylliumProduction,0.11,0.16,0.15,0.18,0.12
BerylliumExports,--,--,--,--,--
BerylliumImports,--,--,0.00050,--,0.00072
Beryllium1st,NA,NA,SouthAfrica,NA,Uganda
Beryllium2nd,NA,NA,NA,NA,NA
Beryllium3rd,NA,NA,NA,NA,NA
BromineConsumption,W,W,W,W,W
BromineProduction,226,243,W,W,W
BromineExports,2.91,4.47,--,6.14,3.81
BromineImports,2.74,0.81,2.27,1.95,1.39
Bromine1st,NA,NA,NA,Israel,Israel
Bromine2nd,NA,NA,NA,NA,NA
Bromine3rd,NA,NA,NA,NA,NA
ChromiumConsumption,W,W,W,W,W
ChromiumProduction,--,--,--,--,--
ChromiumExports,13.70,17.40,12.00,2.28,0.74
ChromiumImports,52.90,53.80,46.40,64.30,23.00
Chromium1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Chromium2nd,Canada,Canada,Canada,NA,NA
Chromium3rd,NA,China,China,NA,NA
CopperConsumption,153863.22,162892.19,137866.84,155699.64,148849.14
CopperProduction,154000,163000,138000,156000,149000
CopperExports,137,108,134,301,151
CopperImports,0.22,0.19,0.84,0.64,0.14
Copper1st,Mexico,Canada,Canada,Canada,Canada
Copper2nd,Canada,Other,Peru,Peru,NA
Copper3rd,NA,NA,UnitedKingdom,NA,NA
FeldsparConsumption,761,754.78,723.59,637.43,544.60
FeldsparProduction,750,760,730,650,550
FeldsparExports,15.20,10.40,9.98,14.60,7.52
FeldsparImports,26.20,5.18,3.57,2.03,2.12
Feldspar1st,Turkey,Mexico,Mexico,Mexico,Mexico
Feldspar2nd,Mexico,Other,Canada,Germany,Germany
Feldspar3rd,Other,NA,Germany,Australia,UnitedKingdom
GoldConsumption,0.26,0.25,0.24,0.26,0.27
GoldProduction,0.26,0.25,0.24,0.23,0.22
GoldExports,0.001,0.003,0.003,0.002,0.002
GoldImports,0.002,0.001,0.001,0.028,0.047
Gold1st,Canada,Canada,Canada,Mexico,Mexico
Gold2nd,Australia,BurkinaFaso,Guatemala,Canada,Canada
Gold3rd,Mexico,Australia,Mexico,Australia,Ghana
GraphiteConsumption,42.40,30.40,42.90,50.35,21.70
GraphiteProduction,--,--,--,--,--
GraphiteExports,22.100,22.200,15.700,7.950,11.400
GraphiteImports,64.500,52.600,58.600,58.300,33.100
Graphite1st,China,China,China,China,China
Graphite2nd,Mexico,Mexico,Canada,Canada,Mexico
Graphite3rd,Canada,Canada,Mexico,Mexico,Canada
