Value,2005,2006,2007,2008,2009
Aluminum(000mt)Consumption,6530,5700,5170,3940,3320
Aluminum(000mt)Production,--,--,--,--,--
Aluminum(000mt)Primary,2481,2284,2554,2658,1727
Aluminum(000mt)Secondary,3030,4380,4120,3630,2820
Aluminum(000mt)Exports,2370,2820,2840,3280,2710
Aluminum(000mt)Imports,5330,5180,4490,4200,4110
Aluminum(000mt)1st,Canada,Canada,Canada,Canada,Canada
Aluminum(000mt)2nd,Russia,Russia,Russia,Russia,Russia
Aluminum(000mt)3rd,China,China,China,China,China
Antimony(mt)Consumption,9140,10500,9690,8140,6770
Antimony(mt)Production,3620,3520,3480,3180,3020
Antimony(mt)Exports,740,459,305,366,385
Antimony(mt)Imports,6370,7260,5920,7050,4750
Antimony(mt)1st,China,China,China,China,China
Antimony(mt)2nd,Mexico,Peru,Mexico,Mexico,Mexico
Antimony(mt)3rd,Belgium,Mexico,Belgium,Peru,Peru
Bismuth(mt)Consumption,2390,1960,2630,1090,820
Bismuth(mt)Production,--,--,--,--,--
Bismuth(mt)Exports,142,311,421,375,397
Bismuth(mt)Imports,2530,2300,3070,1930,1250
Bismuth(mt)1st,Belgium,Belgium,UnitedKingdom,China,China
Bismuth(mt)2nd,China,Mexico,Belgium,Belgium,Belgium
Bismuth(mt)3rd,Mexico,UnitedKingdom,China,UnitedKingdom,SouthKorea
Boron(000mt)Consumption,W,W,W,W,W
Boron(000mt)Production,W,W,W,W,W
Boron(000mt)Exports,183,221,248,303,171
Boron(000mt)Imports,52,85,67,50,36
Boron(000mt)1st,Turkey,Turkey,Turkey,Turkey,Turkey
Boron(000mt)2nd,Chile,Chile,Chile,Chile,Chile
Boron(000mt)3rd,Peru,Bolivia,Bolivia,Bolivia,Russia
Cadmium(mt)Consumption,2060,530,594,528,199
Cadmium(mt)Production,1470,723,735,777,633
Cadmium(mt)Exports,686,483,424,421,661
Cadmium(mt)Imports,288,180,316,197,122
Cadmium(mt)1st,Mexico,Australia,Mexico,Canada,Australia
Cadmium(mt)2nd,Australia,Canada,Australia,Australia,Peru
Cadmium(mt)3rd,Canada,India,Canada,Mexico,Canada
Chromium(mt)FerrochromiumConsumption,548000,589000,493000,432000,160000
Chromium(mt)FerrochromiumProduction,W,W,W,W,W
Chromium(mt)FerrochromiumExports,,,,998000,411000
Chromium(mt)FerrochromiumImports,264000,249000,242000,297000,137000
Chromium(mt)1st,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica,SouthAfrica
Chromium(mt)2nd,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
Chromium(mt)3rd,Russia,Russia,Russia,Russia,Russia
StainlessSteelConsumption,1480000,1500000,1430000,1330000,1260000
StainlessSteelProduction,373000,419000,360000,324000,276000
StainlessSteelExports,371000,410000,476000,471000,414000
StainlessSteelImports,770000,872000,809000,783000,416000
Cobalt(mt),2005,2006,2007,2008,2009
Cobalt(mt)Consumption,--,--,--,--,--
Cobalt(mt)Reported,9150,9280,9320,8810,7460
Cobalt(mt)Apparent,11800,11000,9630,10100,7520
Cobalt(mt)Exports,2440,2850,3100,2850,2440
Cobalt(mt)Imports,9350,9950,8960,8430,7680
Cobalt(mt)1st,Norway,Russia,Norway,Norway,Norway
Cobalt(mt)2nd,Russia,Norway,Russia,China,Russia
Cobalt(mt)3rd,Canada,China,Canada,Russia,Canada
Copper(mt)ConsumptionReported,2270000,2110000,2140000,2020000,1650000
Copper(mt)ConsumptionApparent,2420000,2200000,2270000,1990000,1580000
Copper(mt)Production,2762175,2740076,2875320,2718655,2554082
Copper(mt)Smelter,523575,501576,617720,574655,597682
Copper(mt)Refinery,1260000,1250000,1310000,1270000,1160000
Copper(mt)Secondary,953000,969000,925000,852000,774000
Copper(mt)Copper-Sulfate,25600,19500,22600,22000,22400
Copper(mt)Exports,39500,106000,51100,36500,80800
Copper(mt)Imports,1000000,1070000,829000,724000,664000
Copper(mt)1st,Chile,Chile,Chile,Chile,Chile
Copper(mt)2nd,Canada,Canada,Canada,Canada,Canada
Copper(mt3rd,Peru,Peru,Peru,Peru,Peru
Gallium(kg)Consumption,18700,20300,25100,28700,24900
Gallium(kg)Production,--,--,--,--,--
Gallium(kg)Exports,--,--,--,--,--
Gallium(kg)Imports,15800,26900,37100,41100,35900
Gallium(kg)1st,Japan,China,Germany,Germany,Canada
Gallium(kg)2nd,Russia,Ukraine,Canada,Canada,Germany
Gallium(kg)3rd,Hungary,Germany,Ukraine,China,UnitedKingdom
Germanium(kg),2005,2006,2007,2008,2009
Germanium(kg)Consumption,27800,55000,52400,54500,38800
Germanium(kg)Production,--,--,--,--,--
Germanium(kg)Exports,--,--,--,--,--
Germanium(kg)Imports,16700,24100,25400,40200,29400
Germanium(kg)1st,Belgium,Belgium,Belgium,Belgium,China
Germanium(kg)2nd,China,Germany,Germany,China,Russia
Germanium(kg)3rd,Germany,China,Russia,Russia,Belgium
GoldConsumption,196800,205270,197050,217490,200520
GoldProduction,256000,252000,238000,233000,223000
GoldExports,182000,228000,392000,459000,281000
GoldImports,105000,136000,113000,118000,127000
Gold1st,Canada,Canada,Canada,Canada,Canada
