Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,33.90,0.99,17.10,S.Africa,12.00,USSR,4.50,China
1991,31.70,0.99,15.00,S.Africa,12.00,USSR,4.50,China
1992,31.60,0.95,14.29,S.Africa,11.00,Russia,4.70,China
1993,33.90,0.97,15.10,S.Africa,12.80,Russia,5.00,China
1994,34.70,0.97,16.35,S.Africa,11.90,Russia,5.40,China
1995,42.10,0.97,16.30,S.Africa,13.70,China,11.00,Russia
1996,40.90,0.97,14.77,S.Africa,14.00,China,11.00,Russia
1997,40.70,0.97,15.59,S.Africa,15.00,China,9.00,Russia
1998,42.50,0.97,18.87,S.Africa,15.50,China,7.00,Russia
1999,36.00,0.97,17.61,S.Africa,10.40,China,7.00,Russia
2000,40.00,0.94,18.02,S.Africa,12.00,China,7.50,Russia
2001,41.30,0.91,18.18,S.Africa,12.00,China,7.50,Russia
2002,50.50,0.92,25.23,S.Africa,13.20,China,8.00,Russia
2003,47.30,0.98,27.17,S.Africa,13.20,China,5.80,Russia
2004,51.40,0.98,23.30,S.Africa,16.00,China,10.90,Russia
2005,55.80,0.98,22.60,S.Africa,17.00,China,15.10,Russia
2006,57.40,0.98,23.78,S.Africa,17.50,China,15.10,Russia
2007,58.00,0.98,23.49,S.Africa,19.00,China,14.50,Russia
2008,55.80,0.98,20.30,S.Africa,20.00,China,14.50,Russia
2009,50.90,0.98,21.00,China,14.50,Russia,14.34,S.Africa
2010,57.00,0.98,22.00,China,19.00,S.Africa,15.00,Russia
