Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry,
1994,730,0.84,500,China,60,Australia,50,India,
1995,1450,0.93,1274,China,55,India,15,Brazil,
1996,1600,0.91,1400,China,55,India,7,Malaysia,
1997,2370,0.95,2200,China,30,India,15,Brazil,
1998,2400,0.95,2200,China,55,India,15,Brazil,
1999,2400,0.95,2200,China,55,India,15,Brazil,
2000,2400,0.99,2300,China,55,India,11,Malaysia,
2001,2400,1.00,2300,China,55,India,36,Thailand,
2002,2400,0.99,2300,China,55,India,20,Thailand,
2003,2400,0.98,2300,China,55,India,5,Malaysia,
2004,2400,0.98,2300,China,55,India,5,Malaysia,
2005,6080,1.00,6000,China,55,India,15,Malaysia,
2006,8900,1.00,8800,China,55,India,15,Brazil,
2007,8900,1.00,8800,China,55,India,15,Brazil,
2008,8900,1.00,8800,China,55,India,15,Brazil,
2009,8900,1.00,8800,China,55,India,15,Brazil,
2010,8900,1.00,8800,China,55,India,15,Brazil,
