Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,7150.00,0.39,1200.00,Canada,940.00,Australia,619.00,China
1991,7270.00,0.40,1156.58,Canada,1024.00,Australia,750.00,China
1992,7250.00,0.43,1324.68,Canada,1025.00,Australia,758.00,China
1993,6910.00,0.40,1010.00,Australia,1004.37,Canada,775.00,China
1994,7050.00,0.42,1010.71,Canada,995.00,Australia,990.00,China
1995,7280.00,0.42,1121.17,Canada,1010.00,China,937.00,Australia
1996,7480.00,0.46,1222.39,Canada,1120.00,China,1071.00,Australia
1997,7540.00,0.44,1200.00,China,1076.39,Canada,1036.00,Australia
1998,7570.00,0.45,1270.00,China,1061.65,Canada,1059.00,Australia
1999,7960.00,0.45,1480.00,China,1163.00,Australia,963.32,Canada
2000,8770.00,0.48,1780.00,China,1420.00,Australia,1002.24,Canada
2001,8928.25,0.48,1700.00,China,1519.00,Australia,1056.63,Peru
2002,8880.00,0.48,1550.00,China,1469.00,Australia,1233.00,Peru
2003,9530.00,0.51,2030.00,China,1479.00,Australia,1372.79,Peru
2004,9610.00,0.51,2390.00,China,1334.00,Australia,1209.01,Peru
2005,10000.00,0.51,2550.00,China,1367.00,Australia,1202.67,Peru
2006,10300.00,0.52,2840.00,China,1362.00,Australia,1203.79,Peru
2007,11000.00,0.55,3040.00,China,1514.00,Australia,1444.35,Peru
2008,11600.00,0.55,3200.00,China,1603.00,Peru,1519.13,Australia
2009,11200.00,0.53,3100.00,China,1509.13,Peru,1290.00,Australia
