Year,Worldmineproduction,Concetrationratio,1stMineproduction,1stCountry,2ndMineproduction,2ndCountry,3rdMineproduction,3rdCountry
1990,852.00,0.80,437.00,Australia,151.50,S.Africa,90.00,USSR
1991,795.00,0.76,292.00,Australia,230.00,S.Africa,80.00,USSR
1992,856.00,0.79,355.00,Australia,243.00,S.Africa,75.00,Ukraine
1993,796.00,0.91,414.00,Australia,243.00,S.Africa,70.00,Ukraine
1994,897.00,0.91,511.00,Australia,240.00,S.Africa,65.00,Ukraine
1995,918.00,0.91,518.00,Australia,260.00,S.Africa,60.00,Ukraine
1996,894.00,0.91,502.00,Australia,260.00,S.Africa,55.00,Ukraine
1997,822.00,0.91,416.00,Australia,265.30,S.Africa,65.00,Ukraine
1998,732.00,0.90,369.00,Australia,265.00,S.Africa,25.00,Ukraine
1999,673.00,0.90,359.00,Australia,219.00,S.Africa,27.16,Brazil
2000,731.00,0.90,374.00,Australia,253.00,S.Africa,30.00,Ukraine
2001,745.00,0.90,393.00,Australia,245.00,S.Africa,33.60,Ukraine
2002,973.00,0.90,429.00,S.Africa,412.00,Australia,35.00,China
2003,1040.00,0.88,462.00,Australia,404.00,S.Africa,50.00,China
2004,1070.00,0.87,441.00,Australia,368.00,S.Africa,120.00,China
2005,1060.00,0.87,427.00,Australia,376.00,S.Africa,120.00,China
2006,1240.00,0.86,492.00,Australia,435.00,S.Africa,135.00,China
2007,1410.00,0.81,601.00,Australia,405.00,S.Africa,140.00,China
2008,1310.00,0.84,550.00,Australia,405.00,S.Africa,140.00,China
2009,1180.00,0.84,476.00,Australia,390.00,S.Africa,130.00,China
2010,1250.00,0.85,518.00,Australia,400.00,S.Africa,140.00,China
