Site_ID|Name|WGS84_Lat|WGS84_Lon|Commod_gp|Src_Rec_No|Record_tp|Country|State|Ref_no
7684||-22.28|29.64|Cu, Ni|13|Occurrence|South Africa||28
7698||-22.32|29.61|Cu, Ni|29|Occurrence|South Africa||28
7703|Pafuri|-22.33|30.98|Ni|35|Deposit, Never Exploited|South Africa||28
7708||-22.34|30.87|Ni, Cu|40|Occurrence|South Africa||28
7718||-22.35|30.32|Cr|50|Occurrence|South Africa||28
7769|Brindisi|-22.49|28.95|Cr|104|Occurrence|South Africa||28
7770||-22.49|29.00|Cr|105|Occurrence|South Africa||28
7776||-22.50|29.81|Cr|113|Occurrence|South Africa||28
7785||-22.51|28.93|Cr|123|Occurrence|South Africa||28
7818||-22.57|29.93|Cr|158|Occurrence|South Africa||28
7834||-22.61|29.84|Cr|175|Occurrence|South Africa||28
7843||-22.62|29.13|Cr|184|Occurrence|South Africa||28
7845||-22.63|29.75|Cr|186|Occurrence|South Africa||28
7864||-22.69|29.13|Cr|205|Occurrence|South Africa||28
7914||-23.04|29.17|Ni|256|Occurrence|South Africa||28
7917||-23.05|29.94|Ni|259|Occurrence|South Africa||28
7919||-23.06|29.12|Ni|261|Occurrence|South Africa||28
7941||-23.12|29.11|Ni|284|Occurrence|South Africa||28
7965||-23.16|29.72|Ni|308|Occurrence|South Africa||28
7997||-23.21|29.93|Ni|341|Occurrence|South Africa||28
7999||-23.22|29.72|Ni|343|Occurrence|South Africa||28
8004||-23.22|29.41|Cu, Ni|348|Occurrence|South Africa||28
8021||-23.25|29.10|Ni|366|Occurrence|South Africa||28
8037||-23.28|29.95|Ni, Cu|382|Occurrence|South Africa||28
8052|Lemoenfontein|-23.30|29.54|Cr, Ni|397|Deposit, Never Exploited|South Africa||28
8055|Joubert|-23.31|30.54|Mg, Ni|400|Mine, Dormant|South Africa||28
8058||-23.31|30.98|Mg, Ni|403|Occurrence|South Africa||28
8060||-23.31|30.94|Ni|405|Occurrence|South Africa||28
8061||-23.31|29.79|Ni|406|Occurrence|South Africa||28
8091||-23.40|30.71|Cu, Ni|439|Occurrence|South Africa||28
8097||-23.42|28.69|Pt|445|Occurrence|South Africa||28
8110||-23.45|30.63|Cu, Ni|458|Occurrence|South Africa||28
8122||-23.49|29.34|Ni|471|Occurrence|South Africa||28
8157||-23.68|29.94|Ni, Cu|513|Occurrence|South Africa||28
8178||-23.85|29.65|Ni, talc|546|Occurrence|South Africa||28
8185||-23.87|29.60|Ni, talc|557|Occurrence|South Africa||28
8189||-23.88|30.56|Ni, Cu|561|Occurrence|South Africa||28
8201||-23.92|28.82|Pt|576|Occurrence|South Africa||28
8225||-23.96|30.23|Ni, Cu|606|Occurrence|South Africa||28
8247|Potgietersrust Platinums Ltd (PPL)|-24.01|28.91|Pt, Pd, Ni, Cu|636|Mine, Continuously Producing|South Africa||28
8269|Vaalkop|-24.04|28.93|Pt|661|Deposit, Never Exploited|South Africa||28
8293||-24.11|29.23|Cu, Ni|686|Occurrence|South Africa||28
8295||-24.11|29.00|Pt|688|Deposit, Never Exploited|South Africa||28
