Ref_no|Reference|Ref_st_frm
4|U.S. Geological Survey, 2008, Mineral Resources Data System (MRDS): [http://minerals.usgs.gov/fact-sheets/MRDS_Broch.html, last accessed Sep. 20, 2008].|USGS (2008)
5|Center for Russian and Central Asian Mineral Studies, 2006a, Belarus mineral database [Belarus_West Russia deposit database.mdb]: London, Natural History Museum, Center for Russian and Central Asian Mineral Studies, CD-ROM.|Center for Russian and Central Asian Mineral Studies (2006a)
6|Veselinovic-Williams, M., and Frost-Killian, S., 2003 [2007], Digital international metallogenic map of Africa [mineral-dep-dd.dbf]: Council for Geoscience, South Africa and Commission for the Geologic Map of the World (CGMW), scale 1:5,000,000, CD-ROM.|Veselinovic-Williams and Frost-Killian (2003)
7|Davenport, P.H., Nolan, L.W., Butler, A.J., Wagenbauer, H.A., and Honarvar, P., 1999, The geoscience atlas of Newfoundland, version 1.1 [mods.dbf]: Newfoundland Department of Mines and Energy, Geological Survey Open File NFLD/2687, scale 1:1,000,000, CD-ROM.|Davenport and others (1999)
8|Hulbert, Larry, and Scoates, Jon, 2001, Digital map and database of magmatic Ni-Cu ± PGE occurrences and mafic-ultramafic bodies in Manitoba [Manitoba Database.mdb - Manitoba_MinIndex table]: Manitoba Industry, Trade and Mines Economic Geology Report ER2000-1, scale 1:1,500,000, CD-ROM.|Hulbert and  Scoates (2001)
9|Kirkham, R.V., and Raefer, A.B., 2003, Selected world mineral deposits database [SWMDDatabase.mdb]: Geological Survey of Canada Open File 1801, 83 p., CD-ROM.|Kirkham and Raefer (2003)
10|Eckstrand, O. R., Good, D. J., Yakubchuk, A., and Gall, Q., compilers, 2007a, World distribution of Ni, Cu, PGE, and Cr deposits and camps  [NiPGECr_321_Mar1307.mdb, deposit groups tables]: Geological Survey of Canada. [http://gdr.nrcan.gc.ca/minres/data_e.php; last accessed Mar. 19, 2008. This database is an update of Eckstrand, O. R., and Good, D. J., 2000, World distribution of nickel deposits: Geological Survey of Canada, Open File 3791a].|Eckstrand and others  (2007a)
11|Eckstrand, O. R., Good, D. J., Yakubchuk, A., and Gall, Q., compilers, 2007b, World distribution of Ni, Cu, PGE, and Cr deposits and camps  [NiPGECr_321_Mar1307.mdb, deposits tables]: Geological Survey of Canada. [http://gdr.nrcan.gc.ca/minres/data_e.php; last accessed Mar. 19, 2008. This database is an update of Eckstrand, O. R., and Good, D. J., 2000, World distribution of nickel deposits: Geological Survey of Canada, Open File 3791a].|Eckstrand and others  (2007b)
12|Ontario Geological Survey, 2002, Mineral deposit inventory (ver. 2 MDI2) [mdi2.mdb]: Ontario Geological Survey, CD-ROM;  [October 2002 release].|Ontario Geological Survey (2002)
13|Hulbert, Larry, Vaillancourt, Christine, and Sproule, Rebecca, 2002, Magmatic Ni-Cu ± PGE occurrences and mafic-ultramafic bodies in Ontario, provincial GIS and database [Ontario-OGS.mdb]: Ontario Geological Survey Miscellaneous Release – Data 100, scale 1:2,000,000, CD-ROM.|Hulbert and others (2002)
14|Hulbert, Larry, and Slimmon, Bill, 2000, Map and database of magmatic Ni-Cu ± PGE occurrences and mafic-ultramafic intrusions in Saskatchewan [Saskatewan.mdb]: Saskatchewan Energy and Mines Miscellaneous Report 2000-5, scale 1:850,000, CD-ROM.|Hulbert and Slimmon  (2000)
15|Yukon Geological Survey, 2005, Yukon Minefile 2005 [minfile2005.mde]: Yukon Energy, Mines and Resources; [http://geology.yk.net/minfile/products.html, last accessed Mar. 31, 2006].|Yukon Geological Survey (2005)
17|Geological Survey of Finland, 2009, Fennoscandian Ore Deposit Database [online]: Geological Survey of Finland. [http://en.gtk.fi/ExplorationFinland/fodd/; last accessed Feb. 10, 2009].|Geological Survey of Finland (2009)
19|Ewers, G.R., Evans, N., Hazell, M., and Kilgour, B., compilers, 2002, OZMIN mineral deposits database [Digital Datasets]: Geoscience Australia AGSO Record 2000/18, 103 p., scale 1:100,000, [http://www.ga.gov.au/general/technotes/20011023_32.jsp, last accessed Apr. 15, 2008].|Ewers and others (2002)
20|Northern Territory Geological Survey, 2003, Northern Territory mineral occurrence database (MODAT): Northern Territory Geological Survey Dataset Exports. [http://www.minerals.nt.gov.au/pls/portal30/docs/FOLDER/DBIRD_NTGS/INFO_CENTRE/ATTACHMENTS/DATASET_EXPORTS/MODAT070403.ZIP; last accessed Nov. 3, 2004].|Northern Territory Geological Survey ( 2003)
22|Ewers, G.R., Evans, N., and Kilgour, B., compilers, 2001, MINLOC mineral localities database [Digital Dataset - minlocdd.dbf]: Geoscience Australia, scale 1:100,000. [http://www.ga.gov.au/general/technotes/20011023_32.jsp,  last accessed Oct. 15, 2004].|Ewers and others (2001)
23|Geological Survey of Western Australia, 2004, Record 13/2000 - Mines and mineral deposits of Western Australia: digital extract from MINEDEX - an explanatory note [minedex.dbf]: Department of Industry and Resources Western Australia, GeoVIEW.WA Data Center Unique Record ANZWA1220000385. [http://mapserver.doir.wa.gov.au/datacentre/; last accessed Jul. 6, 2004].|Geological Survey of Western Australia  (2004)
24|Rodnov, Yu.N., Belkina, I.L., Bystrova, G.P., Zabotikin, L.V., Larin, A.M., Sviridov, A.P., Simonova, L.S., and Smolenkov, V.I., authors, and Rundkvist, D.V., and Belkina, I.L., eds., 2001 [2002], Mineragenetic map of Russian Federation and adjacent states (within the boundaries of former USSR): Saint Petersberg, VSEGEI Publishing House, Ministry of Natural Resources of the Russian Federation, State Research and Development Enterprise "Aerogeologia", 49 p,. Excel workbook, and 1 map on 16 sheets, scale 1:2,500,000.|Rudnov and others (2001-2)
26|Schobbenhaus, Carlos, Gonçalves, J.H., Santos, J.O.S., Abram, M.B., Neto, R.L., Muniz de Matos, G.M., Vidotti, R.M., Ramos, M.A.B., and Alves de Jesus, J.D., 2004, Carta geológica do Brasil ao milionésimo, system de informações geográficas-SIG (edição 2004) [Geological map of Brazil, 1:1,000,000 scale, geographical information system-GIS (2004 edition)]: Brasília, CPRM, Programa Geologico do Brasil, scale 1:1,000,000, CD ROM [set of 41 CD ROM disks, in Portuguese].|Schobbenhaus and others (2004)
28|Martini, J.E.J., Vorster, C.J., Oosterhuis, W.R., and Wolmarans, L.G., 2001, Digital metallogenic map of South Africa and the Kingdoms of Lesotho and Swaziland [mineralpoints.dbf]: Council for Geoscience (Geological Survey), South Africa, scale 1:1,000,000, CD-ROM.|Martini and others (2001)
29|Fitch, D.C., 2000a, Mexico activities map and database of active metals exploration and mining properties (2000 edition) [2000MexMine.dbf]: Reno, Nev., igeologist.com, scale 1:500,000, CD-ROM.|Fitch (2000a)
30|Fitch, D.C., 2000b, Mexico mineral occurrences map and GIS database [mxminall.dbf]: Reno, Nev., igeologist.com, scale 1:2,500,000, CD-ROM.|Fitch (2000b)
31|Schjøth, F., Garde, A.A., Jørgensen, M.S., Lind, M., Moberg, E., Nielsen, T.F.D., Rasmussen, T.M., Secher, K., Steenfelt, A., Stendal, H., Thorning, L., and Tukiainen, T., 2000, Mineral resource potential of South Greenland [occurrences.dbf]: the CD-ROM: Danmarks og Grønlands Geologiske Undersøgelse [GEUS] Rapport 2000/57, 38 p., scale 1:500,000, CD-ROM.|Schjøth and others (2000)
32|Makepeace, A.J., Stasiuk, M.V., Krauth, O.R., Hickson, C.J., Cocking, R.B., and Ellerbeck, D.M., compilers, 2002, Multinational Andean Project - GeoData CD-ROM [edtg_all.dbf]: Publicación Geológica Multinational [Multinational Geological Publication] no. 3, 2 CD-ROMs. [alternate series - Geological Survey of Canada, Contribution Series 2004003].|Makepeace and others (2002)
33|Zappettini, E.O., ed., 1998, Mapa metalogenético de la República Argentina (versión preliminar) [metlpoints.xls]  [Metallogenic map of Argentina (preliminary version)]: Servicio Geologico Minero Argentino (SEGEMAR) Anales 32/D, scale 1:2,500,000, CD-ROM.|Zappettini (1998)
34|Seltmann, Reimar, Shatov, Vitaly, and Yakubchuk, Alexander, eds., 2005, Mineral deposits database and thematic maps of Central Asia, scale 1.5 million - ArcView 3.2 and MapInfo 6.0 (7.0) GIS Packages  [Ore_F.dbf]: London, Natural History Museum, Center for Russian and Central Asian Mineral Studies, 117 p., scale 1:1,500,000, CD-ROM.|Seltmann and others (2005)
35|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999a, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [camb_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999a)
37|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999b, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [myan_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999b)
38|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999c, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [thai_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999c)
39|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999d, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [viet_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999d)
40|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999e, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [yunn_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999e)
41|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999f, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [Laos_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999f)
42|Zaw, Khin, Burrett, C. F., Berry, R. F., and Bruce, E., 1999g, Geological, tectonic and metallogenic relationships of mineral deposits in mainland Southeast Asia (P390A) [mala_dep.dbf]: University of Tasmania Centre for Ore Deposits Research AMIRA Project P390A, CD-ROM.|Zaw and others (1999g)
43|Peters, S.G., Ludington, S.D., Orris, G.J., Sutphin, D.M., Bliss, J.D., and Rytuba, J.J., eds., and the U.S. Geological Survey-Afghanistan Ministry of Mines Joint Mineral Resource Assessment Team, 2007, Preliminary non-fuel mineral resource assessment of Afghanistan 2007 [minerals_non_fuel_afghan-db.dbf]: U.S. Geological Survey Open-File Report 2007-1214.[http://pubs.usgs.gov/of/2007/1214/, last accessed Dec. 2, 2008].|Peters and others (2007)
