rec_id,state,county,site_name,devel,latitude,longitude,oremin,assocmin,hostrock,source
1,OR,Baker,"Rock Creek Butte occurrence",occurrence,44.429,-118.037,chrysotile,serpentine,"serpentinized peridotite",ofr20101041
2,OR,Baker,"Buttercup Mines, Inc.","past prospect",44.5231,-117.7051,"tremolite asbestos","talc, serpentine, chlorite, quartz, calcite, magnesite, pyroxenes","greenstone intrusion"""", soapstone",ofr20101041
3,OR,Baker,"McClellan Creek occurrence",occurrence,44.5273,-117.7938,"slip-fiber asbestos","serpentine, talc, tremolite","serpentinite, talc-tremolite schist",ofr20101041
4,OR,Baker,"Asbestos 2"""" occurrence",occurrence,44.5581,-117.9093,"asbestiform anthophyllite","talc, tremolite, carbonate, chlorite","talc-tremolite schist, chlorite schist",ofr20101041
5,OR,Baker,"Asbestos 1"""" occurrence",occurrence,44.5598,-117.91,"asbestiform anthophyllite","talc, limonite","talc schist",ofr20101041
6,OR,Baker,"Upper Pine Creek occurrence",occurrence,44.5598,-117.9181,"anthophyllite asbestos","talc, limonite","serpentinite, talc schist",ofr20101041
7,OR,Baker,"Pine Creek asbestos deposits","past prospect",44.561,-117.9172,"anthophyllite asbestos","talc, serpentine","siliceous schist, """"greenstones",ofr20101041
8,OR,Baker,"Freeway talc occurrence",occurrence,44.6547,-117.5783,"tremolite asbestos","talc, tremolite, chalcedonic quartz, anthophyllite",serpentinite,ofr20101041
9,OR,Baker,"Alder Creek asbestos occurrence",occurrence,44.669,-117.613,chrysotile,"not reported",serpentinite,ofr20101041
10,OR,Douglas,"Upper Applegate 2 talc occurrence",occurrence,42.7537,-123.0385,"asbestiform tremolite","talc, chlorite, serpentine(?), magnetite","metaserpentinite, talc-tremolite schist",ofr20101041
11,OR,Grant,"Bear Valley occurrences",occurrence,44.204,-118.958,chrysotile,serpentine,serpentinite,ofr20101041
12,OR,Grant,"Spare Time claims","past prospect",44.3695,-118.9136,chrysotile,serpentine,serpentinite,ofr20101041
13,OR,Grant,"Ward chromite mine",occurrence,44.382,-118.8958,chrysotile,"serpentine, olivine, chromite",dunite,ofr20101041
14,OR,Grant,"Mount Vernon deposit","past producer",44.4464,-119.0588,chrysotile,serpentine,serpentinite,ofr20101041
15,OR,Grant,"Big Butte Creek asbestos (Stithem prospect)","past prospect",44.606,-118.654,chrysotile,serpentine,"serpentinized peridotite",ofr20101041
16,OR,Jackson,"Elliott Creek Ridge area",occurrence,42.0138,-123.0191,chrysotile,"talc, antigorite, chlorite, ankerite, actinolite, tremolite, anthophyllite, pyrite, limonite, magnetite, chromite, manganese minerals",metaserpentinite,ofr20101041
17,OR,Jackson,"Raspberry Creek tremolite","past producer",42.612,-123.047,"tremolite asbestos",serpentine,serpentinite,ofr20101041
18,OR,Jackson,"Liberty Asbestos","past prospect",42.7444,-123.1169,"tremolite asbestos",serpentine,serpentinite,ofr20101041
19,OR,Josephine,"Foster Asbestos (Bear placer)","past prospect",42.2188,-123.7124,chrysotile,serpentine,serpentinite,ofr20101041
20,OR,Josephine,"Powell Creek soapstone",occurrence,42.26,-123.318,"asbestiform tremolite","serpentine, talc, chlorite",serpentinite,ofr20101041
21,OR,Josephine,"L.E.J. Asbestos","past producer",42.3615,-123.4176,"tremolite asbestos",serpentine,"serpentinized peridotite",ofr20101041
22,OR,Malheur,"Towell claims","past prospect",44.366,-117.497,chrysotile,"serpentine, """"picrolite","serpentinized peridotite, dunite",ofr20101041
23,WA,Chelan,"Peshastin Creek",occurrence,47.4,-120.67,"cross-fiber asbestos",serpentine,"not reported",ofr20101041
24,WA,Chelan,"Mill Creek",occurrence,47.54,-120.63,"anthophyllite asbestos",serpentine,"not reported",ofr20101041
25,WA,Chelan,"Icicle Creek","past prospect",47.553,-120.669,asbestos,"not reported","not reported",ofr20101041
26,WA,Chelan,"Trout Lake",occurrence,47.56,-120.9,"anthophyllite asbestos, chrysotile",serpentine,"not reported",ofr20101041
27,WA,Chelan,"Burch Mountain",occurrence,47.57,-120.39,asbestos,"not reported","not reported",ofr20101041
28,WA,Chelan,"Trout Creek",occurrence,47.601,-120.893,chrysotile,"not reported","not reported",ofr20101041
29,WA,Chelan,"Chumstick Mountain","past prospect",47.64,-120.45,"anthophyllite asbestos","not reported","biotite gneiss",ofr20101041
30,WA,Chelan,"Nason Ridge",occurrence,47.79,-120.74,"anthophyllite asbestos","not reported","not reported",ofr20101041
31,WA,Chelan,"Deep Creek",occurrence,47.82,-120.64,chrysotile,"not reported","not reported",ofr20101041
32,WA,Chelan,"Goose Creek",occurrence,47.84,-120.645,"anthophyllite asbestos","not reported","not reported",ofr20101041
33,WA,Chelan,"Williams (Raging) Creek deposit","past prospect",47.92,-120.81,"amphibole asbestos",talc,"hornblende schist",ofr20101041
34,WA,Chelan,"Stehekin River",occurrence,48.367,-120.731,"blue-white, long-fiber asbestos","not reported","not reported",ofr20101041
35,WA,Ferry,"California mine",occurrence,48.6025,-118.5818,"serpentine asbestos","galena, chalcopyrite, sphalerite, malachite, azurite, serpentine, quartz",greenstone,ofr20101041
36,WA,Ferry,"Hardscrabble Mountain",occurrence,48.804,-118.818,"tremolite asbestos","not reported","not reported",ofr20101041
37,WA,Okanogan,"Alta Lake","past producer",48.003,-119.938,"short-fiber amphibole asbestos",talc,"not reported",ofr20101041
38,WA,Okanogan,"Twisp deposit",occurrence,48.24,-120.26,"long, white, silky-fibered asbestos","not reported","not reported",ofr20101041
39,WA,Okanogan,"Ivanhoe prospect","past prospect",48.8748,-119.5739,asbestos,"not reported","not reported",ofr20101041
40,WA,"Pend Oreille","Coffin prospect","past prospect",48.798,-117.5,"serpentine asbestos","diopside, serpentine",marble,ofr20101041
41,WA,Skagit,"Lyman-Hamilton area","past producer",48.51,-121.99,"long-fibered asbestos","not reported","not reported",ofr20101041
42,WA,Skagit,Scott,occurrence,48.58,-122.149,"amphibole asbestos","not reported","not reported",ofr20101041
43,WA,Skagit,"Oyster Creek",occurrence,48.616,-122.438,"amphibole asbestos","not reported",schist,ofr20101041
44,WA,Snohomish,"Florence Rae prospect","past prospect",47.97,-121.5,"cross-fiber asbestos","not reported",peridotite,ofr20101041
45,WA,Snohomish,"Mackinaw nickel prospect",occurrence,47.987,-121.435,"slip-fiber asbestos",serpentine,"not reported",ofr20101041
46,WA,Snohomish,"Bedal Creek (Phoenix asbestos prospect)","past prospect",48.047,-121.349,"slip-fiber asbestos","talc, anthophyllite","talc-anthophyllite schist",ofr20101041
47,WA,Snohomish,"Clear Creek",occurrence,48.115,-121.642,"talcose asbestos","talc, serpentine","serpentine dike",ofr20101041
