rec_id,role,name
1,asbestos,chrysotile
1,associated,serpentine
2,asbestos,tremolite
2,associated,talc
2,associated,serpentine
2,associated,chlorite
2,associated,quartz
2,associated,calcite
2,associated,magnesite
2,associated,pyroxenes
3,associated,serpentine
3,associated,talc
3,associated,tremolite
4,asbestos,anthophyllite
4,associated,talc
4,associated,tremolite
4,associated,carbonate
4,associated,chlorite
5,asbestos,anthophyllite
5,associated,talc
5,associated,limonite
6,asbestos,anthophyllite
6,associated,talc
6,associated,limonite
7,asbestos,anthophyllite
7,associated,talc
7,associated,serpentine
8,asbestos,tremolite
8,associated,talc
8,associated,tremolite
8,associated,"chalcedonic quartz"
8,associated,anthophyllite
9,asbestos,chrysotile
10,asbestos,tremolite
10,associated,talc
10,associated,chlorite
10,associated,serpentine(?)
10,associated,magnetite
11,asbestos,chrysotile
11,associated,serpentine
12,asbestos,chrysotile
12,associated,serpentine
13,asbestos,chrysotile
13,associated,serpentine
13,associated,olivine
13,associated,chromite
14,asbestos,chrysotile
14,associated,serpentine
15,asbestos,chrysotile
15,associated,serpentine
16,asbestos,chrysotile
16,associated,talc
16,associated,antigorite
16,associated,chlorite
16,associated,ankerite
16,associated,actinolite
16,associated,tremolite
16,associated,anthophyllite
16,associated,pyrite
16,associated,limonite
16,associated,magnetite
16,associated,chromite
16,associated,"manganese minerals"
17,asbestos,tremolite
17,associated,serpentine
18,asbestos,tremolite
18,associated,serpentine
19,asbestos,chrysotile
19,associated,serpentine
20,asbestos,tremolite
20,associated,serpentine
20,associated,talc
20,associated,chlorite
21,asbestos,tremolite
21,associated,serpentine
22,asbestos,chrysotile
22,associated,serpentine
22,associated,picrolite
23,associated,serpentine
24,asbestos,anthophyllite
24,associated,serpentine
26,asbestos,chrysotile
26,asbestos,anthophyllite
26,associated,serpentine
28,asbestos,chrysotile
29,asbestos,anthophyllite
30,asbestos,anthophyllite
31,asbestos,chrysotile
32,asbestos,anthophyllite
33,associated,talc
35,associated,galena
35,associated,chalcopyrite
35,associated,sphalerite
35,associated,malachite
35,associated,azurite
35,associated,serpentine
35,associated,quartz
36,asbestos,tremolite
37,associated,talc
40,associated,diopside
40,associated,serpentine
45,associated,serpentine
46,associated,talc
46,associated,anthophyllite
47,associated,talc
47,associated,serpentine
48,associated,serpentine
48,associated,enstatite
48,associated,olivine
48,associated,magnetite
48,associated,dolomite
48,associated,talc
50,asbestos,chrysotile
51,asbestos,chrysotile
51,associated,serpentine
51,associated,chlorite
51,associated,illite
51,associated,hydrotalcite
52,associated,serpentine
54,associated,serpentine
60,asbestos,tremolite
60,associated,serpentine
61,asbestos,chrysotile
61,associated,serpentine
62,associated,chromite
62,associated,serpentine
63,asbestos,chrysotile
63,associated,serpentine
65,associated,serpentine
66,asbestos,chrysotile
66,associated,serpentine
67,asbestos,chrysotile
67,associated,serpentine
67,associated,enstatite
67,associated,opal
67,associated,chromite
67,associated,kammererite
68,asbestos,crocidolite
68,associated,garnet
69,asbestos,chrysotile
69,associated,lizardite
70,asbestos,chrysotile
70,associated,lizardite
71,asbestos,chrysotile
71,associated,lizardite
72,asbestos,chrysotile
72,associated,serpentine
73,asbestos,chrysotile
73,associated,serpentine
74,asbestos,chrysotile
74,associated,serpentine
75,asbestos,chrysotile
75,associated,serpentine
76,asbestos,tremolite
76,asbestos,anthophyllite
76,associated,serpentine
76,associated,hornblende
76,associated,glaucophane
76,associated,chlorite
76,associated,talc
76,associated,diallage
76,associated,garnet
76,associated,actinolite
76,associated,titanite
76,associated,albite
77,asbestos,chrysotile
77,associated,antigorite
77,associated,olivine
77,associated,pyroxene
78,asbestos,tremolite
78,asbestos,actinolite
79,asbestos,chrysotile
79,associated,serpentine
79,associated,vermiculite
79,associated,amphibole
79,associated,albite
79,associated,clinochlore
79,associated,quartz
79,associated,epidote
79,associated,talc
79,associated,"iron oxides"
79,associated,chromite
80,asbestos,chrysotile
80,asbestos,tremolite
80,associated,amphibole
80,associated,serpentine
80,associated,talc
80,associated,"iron oxides"
80,associated,chlorite
80,associated,titanite
81,asbestos,chrysotile
81,asbestos,tremolite
81,associated,vermiculite
81,associated,amphibole
81,associated,augite
81,associated,clinochlore
81,associated,talc
82,asbestos,chrysotile
82,associated,quartz
82,associated,albite
82,associated,vermiculite
82,associated,epidote
