rec_id,citation,ref_id
1,"Bright and Ramp (1965, p. 56)",6
2,"Oregon Department of Geology and Mineral Industries (1939, p. 99)",18
3,"Ferns and Ramp (1988, p. 22)",10
4,"Ferns and Ramp (1988, p. 21-23)",10
5,"Ferns and Ramp (1988, p. 21-22)",10
6,"Ferns and Ramp (1988, p. 21-22)",10
7,"Moore (1937, p. 10-17)",16
7,"Bright and Ramp (1965, p. 57)",6
8,"Ferns and Ramp (1988, p. 26)",10
9,"Gilluly (1937, p. 114)",11
10,"Ferns and Ramp (1988, p. 36)",10
11,"Bright and Ramp (1965, p. 56-57)",6
12,"Bright and Ramp (1965, p. 53)",6
13,"Allen (1938, p. 55-56)",1
14,"Wagner (1963)",26
14,"Bright and Ramp (1965, p. 53)",6
15,"Bright and Ramp (1965, p. 53-56)",6
16,"Peterson and Ramp (1978)",23
16,"Ferns and Ramp (1988, p. 27-28)",10
17,"Bright and Ramp (1965, p. 52)",6
18,"Oregon Department of Geology and Mineral Industries (1943, p. 85-86)",19
18,"Bright and Ramp (1965, p. 52)",6
18,"Page and others (1977)",20
19,"Bright and Ramp (1965, p. 50-52)",6
19,"Ramp and Peterson (1979, p. 39)",24
20,"Ferns and Ramp (1988, p. 28-29)",10
21,"Bright and Ramp (1965, p. 52)",6
21,"Ramp and Peterson (1979, p. 39)",24
22,"Bright and Ramp (1965, p. 56)",6
23,"Valentine (1960, p. 8)",25
24,"Valentine (1960, p. 7)",25
25,"Glover (1936, p. 14)",12
25,"Valentine (1960, p. 7)",25
26,"Valentine (1960, p. 7)",25
27,"Valentine (1960, p. 7)",25
28,"Valentine (1960, p. 7)",25
29,"Valentine (1960, p. 7)",25
30,"Valentine (1960, p. 7)",25
31,"Valentine (1960, p. 7)",25
32,"Valentine (1960, p. 7)",25
33,"Glover (1936, p. 14)",12
33,"Huntting (1943, p. 50, 57)",13
33,"Valentine (1960, p. 7)",25
34,"Valentine (1960, p. 7)",25
35,"Valentine (1960, p. 8)",25
35,"Muessig (1967, p. 112)",17
36,"Glover (1936, p. 14)",12
36,"Valentine (1960, p. 8)",25
37,"Patty and Glover (1921, p. 107-108)",22
37,"Glover (1936, p. 14)",12
37,"Valentine (1960, p. 8)",25
38,"Glover (1936, p. 14-15)",12
38,"Valentine (1960, p. 14)",25
39,"Valentine (1960, p. 8)",25
