stationname,latdeg,latmin,londeg,lonmin,elevation,observedgravity,freeairanomaly,simplebougaranomaly,innerterraincorrection,totalterraincorrection,correctionextent,completebougaranomaly,isostaticresidualanomaly
61990879,36,30.89,121,52.43,1115.0,979795.58,37.73,-0.29,2.29,9.27,D,8.52,-15.83
6199F010,36,30.99,121,15.45,1984.0,979710.52,34.25,-33.41,0.26,2.48,D,-31.68,-10.78
6199G001,36,31.55,121,36.53,3560.0,979620.07,91.19,-30.23,0.90,16.69,D,-14.71,-12.70
6199F001,36,31.60,121,3.72,2269.0,979665.62,15.28,-62.11,1.12,4.64,D,-58.31,-29.78
6199F009,36,31.91,121,10.23,2221.0,979671.21,15.91,-59.84,1.49,5.31,D,-55.36,-30.67
6199F011,36,33.63,121,19.68,2644.0,979679.58,61.57,-28.60,1.16,7.71,D,-21.84,-3.76
61990882,36,34.30,121,11.02,1473.0,979724.52,-4.57,-54.81,0.06,1.95,D,-53.44,-28.63
6199F012,36,35.07,121,16.61,3146.0,979647.11,74.23,-33.07,2.08,10.42,D,-23.73,-3.17
61990880,36,35.47,121,29.33,266.0,979827.96,-16.34,-25.41,0.01,1.81,D,-23.72,-13.64
6199F013,36,36.05,121,21.94,2462.0,979701.56,62.95,-21.02,1.17,7.17,D,-14.75,1.75
6199F002,36,36.58,121,3.78,3948.0,979569.71,70.05,-64.60,1.99,13.42,D,-52.43,-24.04
6199F008,36,36.58,121,8.84,2575.0,979651.51,22.76,-65.06,0.53,4.68,D,-61.31,-35.17
6199F019,36,38.15,121,27.06,1083.0,979792.79,21.47,-15.47,1.22,4.06,D,-11.86,0.30
61990881,36,38.64,121,1.79,2041.0,979713.32,31.38,-38.23,0.17,2.27,D,-36.73,-7.28
6199F018,36,40.45,121,29.66,1417.0,979776.94,33.71,-14.62,0.76,4.29,D,-10.89,-1.40
6199F007,36,49.36,121,9.65,1694.0,979747.02,16.97,-40.81,0.04,2.61,D,-38.85,-14.70
61991061,36,51.35,121,24.36,407.0,979816.59,-37.38,-51.26,0.44,1.39,D,-50.05,-35.22
61991065,36,54.76,121,48.74,91.0,979879.93,-8.70,-11.80,0.25,1.63,D,-10.21,-16.49
6199F003,36,55.84,121,5.78,1388.0,979782.59,14.39,-32.95,1.48,3.23,D,-30.27,-7.27
6199F004,36,58.59,121,8.72,1085.0,979806.63,5.95,-31.06,0.67,2.67,D,-28.82,-6.89
20781a3,36,35.90,121,52.00,51.8,979870.80,5.73,3.96,0.07,3.06,D,7.00,-15.66
20781b3,36,41.00,121,48.20,40.0,979843.80,-29.74,-31.10,0.01,2.03,D,-29.08,-43.56
20781c3,36,45.70,121,45.10,21.0,979860.90,-21.21,-21.93,0.00,1.59,D,-20.34,-28.53
26351a3,36,33.63,121,54.65,436.4,979849.55,23.93,9.04,0.15,4.92,D,13.78,-15.38
26351b3,36,34.40,121,54.72,536.4,979844.88,27.55,9.26,0.21,5.07,D,14.10,-15.12
26351c3,36,35.37,121,53.78,168.0,979867.89,14.51,8.78,0.08,3.84,D,12.56,-14.19
26351d3,36,36.23,121,51.72,19.0,979870.57,1.94,1.29,0.03,2.90,D,4.18,-17.82
26351e3,36,37.48,121,50.42,87.6,979852.77,-11.21,-14.20,0.03,2.61,D,-11.63,-30.83
26351f3,36,38.02,121,49.92,111.2,979848.08,-14.46,-18.25,0.01,2.47,D,-15.83,-33.98
26351g3,36,38.72,121,49.25,114.8,979843.21,-20.00,-23.92,0.01,2.34,D,-21.62,-38.42
26351h3,36,39.90,121,48.85,68.2,979844.17,-25.13,-27.46,0.01,2.17,D,-25.31,-41.17
26351i3,36,41.22,121,47.97,17.1,979845.37,-30.64,-31.22,0.01,2.02,D,-29.20,-43.23
26351j3,36,42.17,121,47.32,44.9,979842.52,-32.25,-33.78,0.01,1.84,D,-31.96,-44.70
26351k3,36,44.72,121,45.38,13.5,979854.87,-26.53,-26.99,0.00,1.63,D,-25.36,-34.32
26351l3,36,45.10,121,44.63,11.2,979862.23,-19.94,-20.32,0.00,1.64,D,-18.68,-26.46
26351m3,36,45.73,121,44.68,22.0,979863.18,-18.88,-19.63,0.00,1.59,D,-18.05,-25.67
26351n3,36,47.33,121,45.15,0.3,979860.32,-26.10,-26.11,0.00,1.55,D,-24.55,-32.05
26351o3,36,48.03,121,44.97,25.3,979861.17,-23.91,-24.77,0.02,1.50,D,-23.28,-30.19
26351p3,36,50.57,121,44.78,8.2,979877.99,-12.37,-12.65,0.04,1.54,D,-11.11,-16.25
26351q3,36,51.67,121,45.18,12.8,979881.28,-10.24,-10.67,0.07,1.49,D,-9.18,-14.03
26351r3,36,52.28,121,44.70,18.0,979884.71,-7.20,-7.81,0.14,1.59,D,-6.23,-10.12
26351s3,36,53.73,121,44.67,28.2,979887.34,-5.71,-6.67,0.00,1.37,D,-5.31,-8.07
26351t3,36,54.02,121,46.58,17.7,979885.35,-9.10,-9.71,0.00,1.30,D,-8.41,-12.99
26351u3,36,54.20,121,45.22,33.1,979887.37,-5.90,-7.02,0.01,1.34,D,-5.69,-8.65
26351v3,36,54.30,121,45.30,26.9,979888.43,-5.56,-6.48,0.01,1.35,D,-5.14,-8.10
26351w3,36,54.47,121,45.62,26.6,979888.27,-6.00,-6.91,0.00,1.32,D,-5.59,-8.76
26351x3,36,54.78,121,48.30,99.4,979879.87,-8.00,-11.39,0.18,1.53,D,-9.90,-15.66
26351y3,36,55.50,121,50.67,118.4,979883.27,-3.85,-7.89,0.10,1.64,D,-6.30,-13.96
26351z3,36,55.90,121,51.42,52.2,979890.89,-3.04,-4.82,0.06,1.65,D,-3.19,-11.25
26351A3,36,56.90,121,52.40,108.6,979892.05,1.98,-1.73,0.07,1.72,D,-0.05,-8.07
26351B3,36,57.43,121,52.90,122.4,979893.10,3.56,-0.62,0.05,1.73,D,1.07,-6.88
26351C3,36,58.02,121,53.48,103.7,979897.42,5.27,1.73,0.11,1.80,D,3.49,-4.38
26351D3,36,58.52,121,56.97,63.6,979912.01,15.36,13.19,0.04,1.81,D,14.98,3.93
26351E3,36,58.55,121,53.85,98.1,979899.85,6.40,3.06,0.04,1.80,D,4.82,-2.79
26351F3,36,58.75,121,55.08,134.2,979901.96,11.62,7.04,0.05,1.82,D,8.81,0.11
26351G3,36,58.88,121,56.18,74.5,979910.24,14.09,11.55,0.06,1.85,D,13.38,3.69
4056113,36,36.00,121,53.80,25.9,979875.30,7.65,6.77,0.20,3.82,D,10.58,-16.07
BROOKS01,36,36.52,121,53.43,-40.0,979880.55,5.95,7.87,0.00,2.98,,10.85,-14.86
BROOKS02,36,36.70,121,52.68,-75.1,979877.81,-0.35,3.22,0.00,2.82,,6.04,-17.96
BROOKS03,36,37.38,121,52.02,-93.4,979870.84,-10.02,-5.59,0.00,2.69,,-2.90,-25.35
BROOKS04,36,38.27,121,51.12,-84.2,979862.19,-19.09,-15.10,0.00,2.58,,-12.52,-32.93
BROOKS05,36,38.12,121,52.07,-151.9,979871.02,-16.41,-9.23,0.00,2.65,,-6.58,-28.97
BROOKS06,36,37.35,121,52.80,-138.1,979879.54,-5.49,1.03,0.00,2.77,,3.80,-20.32
BROOKS07,36,37.30,121,53.47,-134.5,979884.87,0.26,6.60,0.00,2.90,,9.50,-16.11
BROOKS08,36,37.75,121,54.37,-79.7,979883.95,3.84,7.58,0.00,3.00,,10.58,-16.93
BROOKS09,36,38.12,121,54.95,-76.0,979885.21,4.91,8.47,0.00,3.12,,11.59,-17.16
BROOKS10,36,38.72,121,55.47,-130.4,979889.27,2.99,9.11,0.00,3.23,,12.34,-17.41
BROOKS11,36,39.20,121,54.38,-256.7,979889.59,-9.26,2.82,0.00,2.93,,5.75,-21.29
BROOKS12,36,38.15,121,53.50,-212.9,979886.59,-6.63,3.37,0.00,2.86,,6.23,-19.20
BROOKS13,36,37.98,121,52.82,-189.9,979881.56,-9.25,-0.34,0.00,2.76,,2.42,-21.59
BROOKS14,36,37.03,121,53.25,-108.6,979882.55,0.76,5.83,0.00,2.90,,8.73,-16.46
BROOKS15,36,38.38,121,51.95,-165.2,979870.41,-18.65,-10.92,0.00,2.62,,-8.30,-30.38
BROOKS16,36,38.95,121,52.70,-214.1,979879.35,-15.13,-5.09,0.00,2.69,,-2.40,-25.90
BROOKS17,36,39.03,121,53.43,-244.9,979884.14,-13.36,-1.86,0.00,2.79,,0.93,-24.09
BROOKS18,36,39.87,121,53.45,-254.6,979881.80,-17.82,-5.87,0.00,2.78,,-3.09,-27.86
BROOKS19,36,40.25,121,52.45,-235.2,979874.83,-23.51,-12.48,0.00,2.58,,-9.90,-32.44
BROOKS20,36,41.10,121,52.48,-248.2,979876.18,-24.61,-12.95,0.00,2.53,,-10.42,-32.69
